"GEO_ID","NAME","B19301_001E","B19301_001EA","B19301_001M","B19301_001MA",
"0500000US05141","Van Buren County, Arkansas","21622","null","1053","null",
"0500000US05143","Washington County, Arkansas","27823","null","874","null",
"0500000US05145","White County, Arkansas","23747","null","1292","null",
"0500000US05147","Woodruff County, Arkansas","21276","null","1964","null",
"0500000US05149","Yell County, Arkansas","21584","null","1760","null",
"0500000US06001","Alameda County, California","44283","null","341","null",
"0500000US06003","Alpine County, California","29041","null","7036","null",
"0500000US06005","Amador County, California","30100","null","1748","null",
"0500000US06007","Butte County, California","27537","null","772","null",
"0500000US06009","Calaveras County, California","32494","null","1539","null",
"0500000US06011","Colusa County, California","27336","null","2220","null",
"0500000US06013","Contra Costa County, California","45524","null","462","null",
"0500000US06015","Del Norte County, California","22832","null","1799","null",
"0500000US06017","El Dorado County, California","40382","null","874","null",
"0500000US06019","Fresno County, California","23284","null","299","null",
"0500000US06021","Glenn County, California","21736","null","1120","null",
"0500000US06023","Humboldt County, California","26747","null","927","null",
"0500000US06025","Imperial County, California","17590","null","584","null",
"0500000US06027","Inyo County, California","31540","null","1446","null",
"0500000US06029","Kern County, California","22553","null","302","null",
"0500000US06031","Kings County, California","21186","null","665","null",
"0500000US06033","Lake County, California","25404","null","1010","null",
"0500000US06035","Lassen County, California","21897","null","1252","null",
"0500000US06037","Los Angeles County, California","32469","null","137","null",
"0500000US06039","Madera County, California","21394","null","717","null",
"0500000US06041","Marin County, California","69275","null","1467","null",
"0500000US06043","Mariposa County, California","29776","null","1572","null",
"0500000US06045","Mendocino County, California","27395","null","1101","null",
"0500000US06047","Merced County, California","21634","null","542","null",
"0500000US06049","Modoc County, California","23235","null","1518","null",
"0500000US06051","Mono County, California","33421","null","2868","null",
"0500000US06053","Monterey County, California","28836","null","525","null",
"0500000US06055","Napa County, California","42677","null","1141","null",
"0500000US06057","Nevada County, California","37145","null","1218","null",
"0500000US06059","Orange County, California","39590","null","322","null",
"0500000US06061","Placer County, California","41508","null","672","null",
"0500000US06063","Plumas County, California","32710","null","3081","null",
"0500000US06065","Riverside County, California","27142","null","232","null",
"0500000US06067","Sacramento County, California","31311","null","252","null",
"0500000US06069","San Benito County, California","31475","null","1109","null",
"0500000US06071","San Bernardino County, California","23956","null","207","null",
"0500000US06073","San Diego County, California","36156","null","267","null",
"0500000US06075","San Francisco County, California","64157","null","802","null",
"0500000US06077","San Joaquin County, California","26145","null","355","null",
"0500000US06079","San Luis Obispo County, California","35832","null","718","null",
