"GEO_ID","NAME","B19301_001E","B19301_001M","B19301_001MA","B19301_001EA",
"0500000US05079","Lincoln County, Arkansas","15748","1966","null","null",
"0500000US05081","Little River County, Arkansas","27738","2394","null","null",
"0500000US05083","Logan County, Arkansas","24061","1764","null","null",
"0500000US05085","Lonoke County, Arkansas","30370","1161","null","null",
"0500000US05087","Madison County, Arkansas","25566","2119","null","null",
"0500000US05089","Marion County, Arkansas","23231","1484","null","null",
"0500000US05091","Miller County, Arkansas","25453","1398","null","null",
"0500000US05093","Mississippi County, Arkansas","25267","1394","null","null",
"0500000US05095","Monroe County, Arkansas","23446","2086","null","null",
"0500000US05097","Montgomery County, Arkansas","24184","1732","null","null",
"0500000US05099","Nevada County, Arkansas","20095","1806","null","null",
"0500000US05101","Newton County, Arkansas","22406","1941","null","null",
"0500000US05103","Ouachita County, Arkansas","22485","1441","null","null",
"0500000US05105","Perry County, Arkansas","24857","1706","null","null",
"0500000US05107","Phillips County, Arkansas","20242","1592","null","null",
"0500000US05109","Pike County, Arkansas","26008","2740","null","null",
"0500000US05111","Poinsett County, Arkansas","22170","1362","null","null",
"0500000US05113","Polk County, Arkansas","26879","2705","null","null",
"0500000US05115","Pope County, Arkansas","26212","1298","null","null",
"0500000US05117","Prairie County, Arkansas","27799","2564","null","null",
"0500000US05119","Pulaski County, Arkansas","35718","730","null","null",
"0500000US05121","Randolph County, Arkansas","24648","2178","null","null",
"0500000US05123","St. Francis County, Arkansas","19667","1705","null","null",
"0500000US05125","Saline County, Arkansas","33861","1079","null","null",
"0500000US05127","Scott County, Arkansas","22064","1940","null","null",
"0500000US05129","Searcy County, Arkansas","20532","1672","null","null",
"0500000US05131","Sebastian County, Arkansas","29684","2525","null","null",
"0500000US05133","Sevier County, Arkansas","24415","2795","null","null",
"0500000US05135","Sharp County, Arkansas","20326","1386","null","null",
"0500000US05137","Stone County, Arkansas","20078","1666","null","null",
"0500000US05139","Union County, Arkansas","27072","1761","null","null",
"0500000US05141","Van Buren County, Arkansas","23389","1354","null","null",
"0500000US05143","Washington County, Arkansas","31380","956","null","null",
"0500000US05145","White County, Arkansas","25535","1283","null","null",
"0500000US05147","Woodruff County, Arkansas","27219","2549","null","null",
"0500000US05149","Yell County, Arkansas","24771","1951","null","null",
"0500000US06001","Alameda County, California","53815","440","null","null",
"0500000US06003","Alpine County, California","39055","7833","null","null",
"0500000US06005","Amador County, California","36589","2256","null","null",
"0500000US06007","Butte County, California","33424","1108","null","null",
"0500000US06009","Calaveras County, California","34791","1999","null","null",
"0500000US06011","Colusa County, California","28063","1995","null","null",
"0500000US06013","Contra Costa County, California","53656","563","null","null",
"0500000US06015","Del Norte County, California","24708","1815","null","null",
"0500000US06017","El Dorado County, California","48953","1390","null","null",
"0500000US06019","Fresno County, California","27295","405","null","null",
"0500000US06021","Glenn County, California","25100","1151","null","null",
"0500000US06023","Humboldt County, California","31044","1029","null","null",
"0500000US06025","Imperial County, California","19005","604","null","null",
"0500000US06027","Inyo County, California","34304","2237","null","null",
"0500000US06029","Kern County, California","25328","424","null","null",
"0500000US06031","Kings County, California","23483","666","null","null",
"0500000US06033","Lake County, California","32147","2400","null","null",
"0500000US06035","Lassen County, California","21214","1143","null","null",
"0500000US06037","Los Angeles County, California","37924","193","null","null",
"0500000US06039","Madera County, California","24759","760","null","null",
"0500000US06041","Marin County, California","78995","2029","null","null",
"0500000US06043","Mariposa County, California","31871","1684","null","null",
"0500000US06045","Mendocino County, California","31324","1220","null","null",
"0500000US06047","Merced County, California","24521","774","null","null",
"0500000US06049","Modoc County, California","26084","2365","null","null",
"0500000US06051","Mono County, California","37466","3353","null","null",
"0500000US06053","Monterey County, California","33786","626","null","null",
"0500000US06055","Napa County, California","49641","1839","null","null",
"0500000US06057","Nevada County, California","43777","1784","null","null",
"0500000US06059","Orange County, California","46099","387","null","null",
"0500000US06061","Placer County, California","48580","796","null","null",
"0500000US06063","Plumas County, California","35139","2209","null","null",
"0500000US06065","Riverside County, California","32079","291","null","null",
"0500000US06067","Sacramento County, California","36152","368","null","null",
"0500000US06069","San Benito County, California","37238","1332","null","null",
"0500000US06071","San Bernardino County, California","28443","335","null","null",
"0500000US06073","San Diego County, California","42696","333","null","null",
"0500000US06075","San Francisco County, California","77267","1141","null","null",
"0500000US06077","San Joaquin County, California","30628","393","null","null",
"0500000US06079","San Luis Obispo County, California","41407","993","null","null",
"0500000US06081","San Mateo County, California","69919","1122","null","null",
"0500000US06083","Santa Barbara County, California","40634","777","null","null",
"0500000US06085","Santa Clara County, California","65052","589","null","null",
"0500000US06087","Santa Cruz County, California","47619","953","null","null",
"0500000US06089","Shasta County, California","33507","1046","null","null",
"0500000US06091","Sierra County, California","34454","5384","null","null",
"0500000US06093","Siskiyou County, California","29563","1723","null","null",
"0500000US06095","Solano County, California","39068","711","null","null",
"0500000US06097","Sonoma County, California","47580","841","null","null",
"0500000US06099","Stanislaus County, California","29195","514","null","null",
"0500000US06101","Sutter County, California","30932","1443","null","null",
"0500000US06103","Tehama County, California","30976","4613","null","null",
"0500000US06105","Trinity County, California","29312","4781","null","null",
"0500000US06107","Tulare County, California","23706","525","null","null",
"0500000US06109","Tuolumne County, California","37042","1965","null","null",
"0500000US06111","Ventura County, California","41863","567","null","null",
"0500000US06113","Yolo County, California","38805","1285","null","null",
"0500000US06115","Yuba County, California","27163","1187","null","null",
"0500000US08001","Adams County, Colorado","33571","586","null","null",
"0500000US08003","Alamosa County, Colorado","25249","2542","null","null",
"0500000US08005","Arapahoe County, Colorado","45046","609","null","null",
"0500000US08007","Archuleta County, Colorado","34394","2488","null","null",
"0500000US08009","Baca County, Colorado","26220","2615","null","null",
"0500000US08011","Bent County, Colorado","16557","3742","null","null",
"0500000US08013","Boulder County, Colorado","52401","1249","null","null",
"0500000US08014","Broomfield County, Colorado","55176","1849","null","null",
"0500000US08015","Chaffee County, Colorado","34290","2362","null","null",
"0500000US08017","Cheyenne County, Colorado","34055","4032","null","null",
"0500000US08019","Clear Creek County, Colorado","52364","6416","null","null",
"0500000US08021","Conejos County, Colorado","22345","1247","null","null",
"0500000US08023","Costilla County, Colorado","23442","2984","null","null",
"0500000US08025","Crowley County, Colorado","15037","2761","null","null",
"0500000US08027","Custer County, Colorado","35255","4441","null","null",
"0500000US08029","Delta County, Colorado","30551","3477","null","null",
"0500000US08031","Denver County, Colorado","50642","745","null","null",
"0500000US08033","Dolores County, Colorado","36003","5174","null","null",
"0500000US08035","Douglas County, Colorado","57481","1014","null","null",
"0500000US08037","Eagle County, Colorado","49010","3618","null","null",
"0500000US08039","Elbert County, Colorado","50147","3493","null","null",
"0500000US08041","El Paso County, Colorado","37619","474","null","null",
"0500000US08043","Fremont County, Colorado","25371","2271","null","null",
"0500000US08045","Garfield County, Colorado","35608","1226","null","null",
"0500000US08047","Gilpin County, Colorado","66627","15778","null","null",
"0500000US08049","Grand County, Colorado","39377","3019","null","null",
"0500000US08051","Gunnison County, Colorado","37642","2383","null","null",
"0500000US08053","Hinsdale County, Colorado","39213","5987","null","null",
"0500000US08055","Huerfano County, Colorado","26111","2296","null","null",
"0500000US08057","Jackson County, Colorado","28619","4326","null","null",
"0500000US08059","Jefferson County, Colorado","49213","575","null","null",
"0500000US08061","Kiowa County, Colorado","26540","3338","null","null",
"0500000US08063","Kit Carson County, Colorado","33007","4706","null","null",
"0500000US08065","Lake County, Colorado","37837","4448","null","null",
"0500000US08067","La Plata County, Colorado","40529","1698","null","null",
"0500000US08069","Larimer County, Colorado","42596","931","null","null",
"0500000US08071","Las Animas County, Colorado","26521","1530","null","null",
"0500000US08073","Lincoln County, Colorado","19758","3521","null","null",
"0500000US08075","Logan County, Colorado","27849","1579","null","null",
"0500000US08077","Mesa County, Colorado","33073","831","null","null",
"0500000US08079","Mineral County, Colorado","33849","4678","null","null",
"0500000US08081","Moffat County, Colorado","29451","1572","null","null",
"0500000US08083","Montezuma County, Colorado","28520","1785","null","null",
"0500000US08085","Montrose County, Colorado","31403","1675","null","null",
"0500000US08087","Morgan County, Colorado","26919","1437","null","null",
"0500000US08089","Otero County, Colorado","23689","1256","null","null",
"0500000US08091","Ouray County, Colorado","42317","3379","null","null",
"0500000US08093","Park County, Colorado","39975","2424","null","null",
"0500000US08095","Phillips County, Colorado","32223","6459","null","null",
"0500000US08097","Pitkin County, Colorado","76883","9117","null","null",
"0500000US08099","Prowers County, Colorado","24281","2500","null","null",
"0500000US08101","Pueblo County, Colorado","28540","742","null","null",
"0500000US08103","Rio Blanco County, Colorado","28139","2342","null","null",
"0500000US08105","Rio Grande County, Colorado","30215","2333","null","null",
"0500000US08107","Routt County, Colorado","50571","3680","null","null",
"0500000US08109","Saguache County, Colorado","29805","5196","null","null",
"0500000US08111","San Juan County, Colorado","40019","8877","null","null",
"0500000US08113","San Miguel County, Colorado","51725","5876","null","null",
"0500000US08115","Sedgwick County, Colorado","28922","3950","null","null",
"0500000US08117","Summit County, Colorado","48488","4441","null","null",
"0500000US08119","Teller County, Colorado","38556","2424","null","null",
"0500000US08121","Washington County, Colorado","29814","1807","null","null",
"0500000US08123","Weld County, Colorado","35707","815","null","null",
"0500000US08125","Yuma County, Colorado","29600","2156","null","null",
"0500000US09001","Fairfield County, Connecticut","61651","902","null","null",
"0500000US09003","Hartford County, Connecticut","43642","513","null","null",
"0500000US09005","Litchfield County, Connecticut","47811","1602","null","null",
"0500000US09007","Middlesex County, Connecticut","48670","1227","null","null",
"0500000US09009","New Haven County, Connecticut","41192","517","null","null",
"0500000US09011","New London County, Connecticut","42312","869","null","null",
"0500000US09013","Tolland County, Connecticut","42942","1192","null","null",
"0500000US09015","Windham County, Connecticut","35032","984","null","null",
"0500000US10001","Kent County, Delaware","30804","788","null","null",
"0500000US10003","New Castle County, Delaware","41428","660","null","null",
"0500000US10005","Sussex County, Delaware","39066","922","null","null",
"0500000US11001","District of Columbia, District of Columbia","63793","922","null","null",
"0500000US12001","Alachua County, Florida","32323","864","null","null",
"0500000US12003","Baker County, Florida","25689","1528","null","null",
"0500000US12005","Bay County, Florida","32312","776","null","null",
"0500000US12007","Bradford County, Florida","22656","2282","null","null",
"0500000US12009","Brevard County, Florida","36278","941","null","null",
"0500000US12011","Broward County, Florida","36451","533","null","null",
"0500000US12013","Calhoun County, Florida","19982","2543","null","null",
"0500000US12015","Charlotte County, Florida","35656","1169","null","null",
