RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022
2754,266,Jefferson County,county,TX,TX,"Beaumont-Port Arthur, TX",48,245,112368,112526,112631,112476,112277,112034,111984,111779,111422,110812,110431,110423,110710,111209,111764,112321,112951,113608,114092,114457,114940,115744,116509,117051,117240,117414,117753,118157,118620,118965,119450,120061,120766,120349,119677,118975,119009,119229,119233,120204,121909,123981,125789,126879,128274,129227,130302,130769,130852,131068,131553,132641,133245,133972,135031,136630,137544,138435,138970,139368,139646,140132,141442,142403,143168,144074,146006,148164,150682,151554
1761,267,Harford County,county,MD,MD,"Baltimore-Columbia-Towson, MD",24,25,277533,278574,279275,281459,282726,283576,282659,281985,281076,281256,282717,285099,287170,288443,289647,290683,291738,292045,292786,293122,293770,293453,293208,291556,292307,292965,294639,294486,295075,295513,296436,296586,297067,297179,298255,299364,299923,300347,301931,304235,306154,307189,308506,309974,312250,315196,319293,322151,324854,327438,331310,335623,338393,341662,345431,349989,354178,357267,360689,364330,367309,369848,372622,375703,379508,382762,386808,389479,391033,391688
2699,268,Frederick County,county,MD,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",24,21,318725,320480,321710,322558,322807,323649,323680,324047,324733,325601,325883,325687,326670,329165,332183,334833,336900,337745,338301,338816,339697,340824,342092,343486,345126,345950,345389,344113,343107,343071,342921,343018,343215,342694,341768,341985,343553,344303,344648,345061,346586,348240,350742,354218,357846,361222,365809,370478,373879,378773,384480,392790,399738,406263,412233,416566,420648,423795,427423,430931,435405,441126,446750,451439,455165,458692,461672,463007,463987,465360
802,269,Weber County,county,UT,UT,"Ogden-Clearfield, UT",49,57,218630,221268,224211,227143,229305,231294,233291,235151,236718,238095,239988,242572,245699,248305,249795,251695,253746,256090,257715,259950,263233,266878,270340,271318,272943,274150,277428,278839,279799,280077,280971,282104,283185,284877,286847,288781,291074,293317,295845,298382,301139,303860,305898,308815,313037,318786,324165,331172,337475,344466,351538,360179,371911,387265,402443,413995,422327,429185,436834,442202,451273,461667,473715,482155,486742,484566,480176,473762,469137,465848
2429,270,McLennan County,county,TX,TX,"Waco, TX",48,309,137830,139404,139972,140332,141082,142720,144097,145348,146462,148037,149326,150587,151719,152571,153384,154237,155691,156864,157751,158708,159326,160044,160635,161385,162517,163522,164160,164389,165098,165574,166212,166450,167719,168264,168656,169098,170224,171283,172460,173647,174709,175641,176701,178317,179974,182163,184498,186662,188304,189676,192145,195580,199956,204686,210120,216268,223487,228672,232983,235429,238405,242837,248795,256020,261337,264540,266107,266385,264888,265137
1503,271,Yakima County,county,WA,WA,"Yakima, WA",53,77,175811,176374,177991,179371,180756,181947,184028,186096,187789,189698,191427,193538,194735,195602,196628,197800,199873,201253,203336,204670,206662,209088,210923,213066,214617,215535,216437,217410,219366,221503,223760,226641,228672,230041,232183,234906,238497,241133,244008,246638,249038,249011,249045,249835,253254,256898,259805,262377,264344,267789,271335,276742,281535,286231,290646,295657,300496,304860,309043,313628,317990,322364,326109,330248,333124,335565,336242,336745,336671,337645
2914,272,Cumberland County,county,PA,PA,"Harrisburg-Carlisle, PA",42,41,202793,203452,203878,204712,205435,205996,206145,206301,206927,207039,207540,208095,208991,209363,209743,210287,211064,211779,212217,212831,213581,214218,214738,214843,215054,215443,215573,215433,214851,214936,215685,216534,217394,217896,218231,218427,218863,219549,220300,221174,222678,224043,225364,226546,228187,230291,232570,235021,237213,239190,241147,243734,246945,250893,254391,257047,259292,261764,264643,267560,270394,274171,277991,281590,284320,286625,288600,290696,292568,295064
2188,273,Cherokee County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,57,241848,242929,243630,245024,244079,243600,243487,245047,247232,249313,251945,255169,257642,260245,261375,262486,263939,264057,265004,265419,268284,270652,272971,274471,275840,277760,279632,281027,281772,282474,283612,284496,284942,285737,286388,287136,287825,288603,289228,290591,291995,294381,296327,298607,300667,303268,306310,310920,315304,319981,324351,329282,335730,344337,354084,363918,372777,381544,390112,396995,404108,412558,422452,432406,440031,445285,448717,451347,452910,452330
423,274,Caddo Parish,county,LA,LA,"Shreveport-Bossier City, LA",22,17,115568,116017,116529,116883,117037,116527,115323,113996,113140,112817,112821,113198,114004,114973,115524,115748,115496,115495,115527,116038,116542,117031,117151,117314,116738,115790,114870,114300,114170,113734,113358,113072,112750,112711,112941,113622,114650,115552,116206,116896,117480,117837,117909,118344,118980,119768,119753,119980,119995,120772,121032,121425,122031,123047,124105,125521,126969,128736,129605,130359,130611,131099,131672,132341,133156,134230,134855,135083,134843,134770
3128,275,Saint Johns County,county,FL,FL,"Jacksonville, FL",12,109,290813,291813,293220,294466,295932,296752,297846,298939,301219,304222,305997,306642,306856,307241,308248,309296,311227,312808,313601,314040,314146,315120,315552,316450,317140,318983,320129,321101,321312,321260,321583,322066,322744,323050,323719,324794,325791,326646,327349,327957,328428,328798,329129,330032,332060,335004,,344842,350528,355792,361997,368729,376371,387580,400488,414890,427822,440426,451408,462266,472356,484512,496267,508725,521917,533944,541898,545018,545981,545467
