,Unnamed: 0,fips,name,state_Ab,state,C_S,C_Sa
94,94,2282,Yakutat City and Borough,AK,Alaska,"Yakutat City and Borough,Alaska","Yakutat City and Borough,AK"
95,95,2290,Yukon-Koyukuk Census Area,AK,Alaska,"Yukon-Koyukuk Census Area,Alaska","Yukon-Koyukuk Census Area,AK"
96,96,4001,Apache County,AZ,Arizona,"Apache County,Arizona","Apache County,AZ"
97,97,4003,Cochise County,AZ,Arizona,"Cochise County,Arizona","Cochise County,AZ"
98,98,4005,Coconino County,AZ,Arizona,"Coconino County,Arizona","Coconino County,AZ"
99,99,4007,Gila County,AZ,Arizona,"Gila County,Arizona","Gila County,AZ"
100,100,4009,Graham County,AZ,Arizona,"Graham County,Arizona","Graham County,AZ"
101,101,4011,Greenlee County,AZ,Arizona,"Greenlee County,Arizona","Greenlee County,AZ"
102,102,4012,La Paz County,AZ,Arizona,"La Paz County,Arizona","La Paz County,AZ"
103,103,4013,Maricopa County,AZ,Arizona,"Maricopa County,Arizona","Maricopa County,AZ"
104,104,4015,Mohave County,AZ,Arizona,"Mohave County,Arizona","Mohave County,AZ"
105,105,4017,Navajo County,AZ,Arizona,"Navajo County,Arizona","Navajo County,AZ"
106,106,4019,Pima County,AZ,Arizona,"Pima County,Arizona","Pima County,AZ"
107,107,4021,Pinal County,AZ,Arizona,"Pinal County,Arizona","Pinal County,AZ"
108,108,4023,Santa Cruz County,AZ,Arizona,"Santa Cruz County,Arizona","Santa Cruz County,AZ"
109,109,4025,Yavapai County,AZ,Arizona,"Yavapai County,Arizona","Yavapai County,AZ"
110,110,4027,Yuma County,AZ,Arizona,"Yuma County,Arizona","Yuma County,AZ"
111,111,5001,Arkansas County,AR,Arkansas,"Arkansas County,Arkansas","Arkansas County,AR"
112,112,5003,Ashley County,AR,Arkansas,"Ashley County,Arkansas","Ashley County,AR"
113,113,5005,Baxter County,AR,Arkansas,"Baxter County,Arkansas","Baxter County,AR"
114,114,5007,Benton County,AR,Arkansas,"Benton County,Arkansas","Benton County,AR"
115,115,5009,Boone County,AR,Arkansas,"Boone County,Arkansas","Boone County,AR"
116,116,5011,Bradley County,AR,Arkansas,"Bradley County,Arkansas","Bradley County,AR"
117,117,5013,Calhoun County,AR,Arkansas,"Calhoun County,Arkansas","Calhoun County,AR"
118,118,5015,Carroll County,AR,Arkansas,"Carroll County,Arkansas","Carroll County,AR"
119,119,5017,Chicot County,AR,Arkansas,"Chicot County,Arkansas","Chicot County,AR"
120,120,5019,Clark County,AR,Arkansas,"Clark County,Arkansas","Clark County,AR"
121,121,5021,Clay County,AR,Arkansas,"Clay County,Arkansas","Clay County,AR"
122,122,5023,Cleburne County,AR,Arkansas,"Cleburne County,Arkansas","Cleburne County,AR"
123,123,5025,Cleveland County,AR,Arkansas,"Cleveland County,Arkansas","Cleveland County,AR"
124,124,5027,Columbia County,AR,Arkansas,"Columbia County,Arkansas","Columbia County,AR"
125,125,5029,Conway County,AR,Arkansas,"Conway County,Arkansas","Conway County,AR"
126,126,5031,Craighead County,AR,Arkansas,"Craighead County,Arkansas","Craighead County,AR"
127,127,5033,Crawford County,AR,Arkansas,"Crawford County,Arkansas","Crawford County,AR"
128,128,5035,Crittenden County,AR,Arkansas,"Crittenden County,Arkansas","Crittenden County,AR"
129,129,5037,Cross County,AR,Arkansas,"Cross County,Arkansas","Cross County,AR"
130,130,5039,Dallas County,AR,Arkansas,"Dallas County,Arkansas","Dallas County,AR"
131,131,5041,Desha County,AR,Arkansas,"Desha County,Arkansas","Desha County,AR"
132,132,5043,Drew County,AR,Arkansas,"Drew County,Arkansas","Drew County,AR"
133,133,5045,Faulkner County,AR,Arkansas,"Faulkner County,Arkansas","Faulkner County,AR"
134,134,5047,Franklin County,AR,Arkansas,"Franklin County,Arkansas","Franklin County,AR"
135,135,5049,Fulton County,AR,Arkansas,"Fulton County,Arkansas","Fulton County,AR"
136,136,5051,Garland County,AR,Arkansas,"Garland County,Arkansas","Garland County,AR"
137,137,5053,Grant County,AR,Arkansas,"Grant County,Arkansas","Grant County,AR"
138,138,5055,Greene County,AR,Arkansas,"Greene County,Arkansas","Greene County,AR"
139,139,5057,Hempstead County,AR,Arkansas,"Hempstead County,Arkansas","Hempstead County,AR"
140,140,5059,Hot Spring County,AR,Arkansas,"Hot Spring County,Arkansas","Hot Spring County,AR"
141,141,5061,Howard County,AR,Arkansas,"Howard County,Arkansas","Howard County,AR"
142,142,5063,Independence County,AR,Arkansas,"Independence County,Arkansas","Independence County,AR"
143,143,5065,Izard County,AR,Arkansas,"Izard County,Arkansas","Izard County,AR"
144,144,5067,Jackson County,AR,Arkansas,"Jackson County,Arkansas","Jackson County,AR"
145,145,5069,Jefferson County,AR,Arkansas,"Jefferson County,Arkansas","Jefferson County,AR"
146,146,5071,Johnson County,AR,Arkansas,"Johnson County,Arkansas","Johnson County,AR"
147,147,5073,Lafayette County,AR,Arkansas,"Lafayette County,Arkansas","Lafayette County,AR"
148,148,5075,Lawrence County,AR,Arkansas,"Lawrence County,Arkansas","Lawrence County,AR"
149,149,5077,Lee County,AR,Arkansas,"Lee County,Arkansas","Lee County,AR"
150,150,5079,Lincoln County,AR,Arkansas,"Lincoln County,Arkansas","Lincoln County,AR"
151,151,5081,Little River County,AR,Arkansas,"Little River County,Arkansas","Little River County,AR"
152,152,5083,Logan County,AR,Arkansas,"Logan County,Arkansas","Logan County,AR"
153,153,5085,Lonoke County,AR,Arkansas,"Lonoke County,Arkansas","Lonoke County,AR"
154,154,5087,Madison County,AR,Arkansas,"Madison County,Arkansas","Madison County,AR"
155,155,5089,Marion County,AR,Arkansas,"Marion County,Arkansas","Marion County,AR"
156,156,5091,Miller County,AR,Arkansas,"Miller County,Arkansas","Miller County,AR"
157,157,5093,Mississippi County,AR,Arkansas,"Mississippi County,Arkansas","Mississippi County,AR"
158,158,5095,Monroe County,AR,Arkansas,"Monroe County,Arkansas","Monroe County,AR"
159,159,5097,Montgomery County,AR,Arkansas,"Montgomery County,Arkansas","Montgomery County,AR"
160,160,5099,Nevada County,AR,Arkansas,"Nevada County,Arkansas","Nevada County,AR"
161,161,5101,Newton County,AR,Arkansas,"Newton County,Arkansas","Newton County,AR"
162,162,5103,Ouachita County,AR,Arkansas,"Ouachita County,Arkansas","Ouachita County,AR"
163,163,5105,Perry County,AR,Arkansas,"Perry County,Arkansas","Perry County,AR"
164,164,5107,Phillips County,AR,Arkansas,"Phillips County,Arkansas","Phillips County,AR"
165,165,5109,Pike County,AR,Arkansas,"Pike County,Arkansas","Pike County,AR"
166,166,5111,Poinsett County,AR,Arkansas,"Poinsett County,Arkansas","Poinsett County,AR"
167,167,5113,Polk County,AR,Arkansas,"Polk County,Arkansas","Polk County,AR"
168,168,5115,Pope County,AR,Arkansas,"Pope County,Arkansas","Pope County,AR"
169,169,5117,Prairie County,AR,Arkansas,"Prairie County,Arkansas","Prairie County,AR"
170,170,5119,Pulaski County,AR,Arkansas,"Pulaski County,Arkansas","Pulaski County,AR"
171,171,5121,Randolph County,AR,Arkansas,"Randolph County,Arkansas","Randolph County,AR"
172,172,5123,St. Francis County,AR,Arkansas,"St. Francis County,Arkansas","St. Francis County,AR"
173,173,5125,Saline County,AR,Arkansas,"Saline County,Arkansas","Saline County,AR"
174,174,5127,Scott County,AR,Arkansas,"Scott County,Arkansas","Scott County,AR"
175,175,5129,Searcy County,AR,Arkansas,"Searcy County,Arkansas","Searcy County,AR"
