,RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021
1751,2941,1759,Hutchinson County,county,TX,TX,"Borger, TX",48,233,72937.0,73300.0,73559.0,73751.0,73921.0,74071.0,74253.0,74405.0,74441.0,74455.0,74565.0,74863.0,75336.0,75816.0,76317.0,76536.0,76701.0,76798.0,76662.0,76555.0,76420.0,76652.0,76825.0,77106.0,77251.0,77437.0,77551.0,77767.0,78045.0,78285.0,78479.0,78540.0,78655.0,78810.0,79122.0,79400.0,79542.0,79271.0,78930.0,78687.0,78691.0,78856.0,78991.0,79067.0,79031.0,78745.0,78638.0,78467.0,,81006.0,82509.0,83024.0,83621.0,84242.0,84748.0,85166.0,85767.0,86348.0,86886.0,88536.0
1752,3127,1760,Saint James Parish,county,LA,LA,"New Orleans-Metairie, LA",22,93,131456.0,131616.0,132142.0,132579.0,133298.0,133809.0,134522.0,135061.0,135589.0,135832.0,136585.0,135686.0,135229.0,134321.0,134727.0,134861.0,135518.0,136283.0,137085.0,137564.0,137892.0,138138.0,138479.0,137441.0,136685.0,135582.0,135855.0,136037.0,136305.0,136609.0,136960.0,137799.0,139015.0,141266.0,141960.0,143185.0,142739.0,143592.0,143710.0,144110.0,144183.0,144242.0,143744.0,143454.0,143516.0,144373.0,145132.0,145971.0,147262.0,148750.0,150023.0,151077.0,152086.0,153174.0,154494.0,156055.0,157347.0,157542.0,158137.0,160152.0
1753,2107,1761,Wyoming County,county,WV,WV,,54,109,38265.0,38233.0,38082.0,37940.0,37729.0,37762.0,37851.0,37954.0,38111.0,38372.0,38734.0,38968.0,38799.0,38557.0,38256.0,38221.0,38172.0,38212.0,38298.0,38378.0,38497.0,38689.0,38903.0,39088.0,39077.0,38992.0,38814.0,38688.0,38714.0,38765.0,38903.0,39000.0,39155.0,39296.0,39286.0,39296.0,39244.0,38593.0,37990.0,37412.0,37467.0,37452.0,37464.0,37503.0,37504.0,37616.0,37848.0,38090.0,38219.0,38292.0,38222.0,38153.0,38201.0,38351.0,38440.0,38530.0,38754.0,39085.0,39344.0,40117.0
1754,1377,1762,Sevier County,county,UT,UT,,49,41,175135.0,176585.0,177969.0,179284.0,180333.0,181434.0,182599.0,183660.0,184835.0,186067.0,187419.0,188859.0,190297.0,192157.0,193183.0,194132.0,194287.0,195097.0,196035.0,197295.0,198578.0,199884.0,201369.0,202739.0,203858.0,204928.0,206017.0,207022.0,207910.0,208791.0,209764.0,210732.0,,219119.0,222129.0,,221088.0,221913.0,222812.0,223673.0,223761.0,223919.0,224247.0,225541.0,226750.0,227861.0,228565.0,229465.0,234891.0,242837.0,251865.0,257768.0,262480.0,267268.0,271920.0,276785.0,280392.0,283534.0,285807.0,292681.0
1755,1212,1763,Monroe County,county,AL,AL,,1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,82233.0,81866.0,82023.0,83109.0,84510.0,85562.0,85130.0,84855.0,84416.0,84573.0,84683.0,84534.0,83959.0,83284.0,83269.0,83249.0,83570.0,84274.0,86249.0,87434.0,88125.0,88320.0,89231.0,90564.0,92052.0,93817.0,95504.0,96638.0,97296.0,97942.0,98778.0,99856.0,102104.0
1756,676,1764,Perry County,county,IL,IL,,17,145,69374.0,69511.0,69953.0,70530.0,71080.0,71565.0,71793.0,72340.0,72661.0,72868.0,72902.0,73109.0,73131.0,73046.0,73026.0,73112.0,73321.0,72994.0,72765.0,72298.0,72083.0,72083.0,71984.0,71797.0,71341.0,70986.0,70832.0,70807.0,70939.0,71405.0,72239.0,73155.0,73756.0,73934.0,74094.0,74216.0,74418.0,74387.0,74394.0,74237.0,74051.0,73887.0,73989.0,74153.0,74555.0,75076.0,75687.0,76145.0,76776.0,77797.0,78858.0,79765.0,80505.0,81135.0,81714.0,82502.0,83187.0,83737.0,83820.0,84515.0
1757,2209,1765,Colorado County,county,TX,TX,,48,89,157338.0,157859.0,158228.0,159079.0,159771.0,160387.0,161199.0,161438.0,161950.0,162258.0,163391.0,164249.0,164951.0,165566.0,166256.0,167008.0,167815.0,168752.0,169781.0,170546.0,171506.0,172537.0,173471.0,174250.0,174942.0,175658.0,175952.0,176426.0,177149.0,178006.0,178653.0,179419.0,181185.0,182186.0,182905.0,182605.0,182879.0,182723.0,182571.0,182562.0,183109.0,183780.0,184459.0,184671.0,185136.0,185956.0,187580.0,189078.0,192095.0,195331.0,199099.0,201542.0,204127.0,206427.0,208817.0,211644.0,214002.0,216009.0,216951.0,221685.0
1758,2530,1766,Saunders County,county,NE,NE,"Omaha-Council Bluffs, NE-IA",31,155,201854.0,203213.0,204236.0,205494.0,206616.0,207746.0,208798.0,209900.0,210838.0,211347.0,211836.0,212724.0,214138.0,215726.0,217080.0,218461.0,219778.0,221263.0,222351.0,223339.0,224373.0,225597.0,226548.0,227659.0,228721.0,230452.0,231949.0,233628.0,235113.0,236531.0,237924.0,239358.0,240931.0,242384.0,242259.0,241995.0,241524.0,242477.0,243349.0,244152.0,244539.0,245014.0,245645.0,245823.0,245983.0,246418.0,248584.0,250573.0,254978.0,258923.0,263658.0,266374.0,269339.0,272007.0,274527.0,275701.0,276937.0,278196.0,280265.0,285377.0
1759,2153,1767,Buchanan County,county,IA,IA,,19,19,135136.0,135732.0,136314.0,137109.0,137809.0,138509.0,138991.0,139403.0,139346.0,139336.0,139478.0,140143.0,140714.0,141235.0,141749.0,142562.0,143261.0,143794.0,144113.0,144426.0,144726.0,145103.0,145464.0,145745.0,145795.0,146094.0,146537.0,147188.0,147805.0,148503.0,149318.0,150105.0,150859.0,151525.0,151951.0,152229.0,152384.0,152575.0,152792.0,153004.0,153089.0,153247.0,153395.0,153405.0,153474.0,153789.0,154771.0,155598.0,157246.0,158904.0,160333.0,161048.0,161919.0,163434.0,164828.0,165956.0,167278.0,168141.0,168985.0,171141.0
1760,2963,1768,Meriwether County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,199,101215.0,101648.0,102103.0,102660.0,103133.0,103492.0,103672.0,104316.0,105207.0,106171.0,106747.0,106966.0,107079.0,107261.0,107663.0,108464.0,109394.0,110144.0,110677.0,111255.0,112048.0,112829.0,113328.0,113679.0,113064.0,112559.0,112281.0,112853.0,113506.0,113850.0,114286.0,114613.0,115246.0,115983.0,115957.0,115754.0,115385.0,115963.0,116516.0,116884.0,117067.0,117147.0,117565.0,117613.0,118108.0,118590.0,119957.0,121045.0,123335.0,125070.0,127100.0,128278.0,129695.0,131225.0,132835.0,134462.0,135922.0,136460.0,136933.0,139803.0
