,YEAR,C_S,WA,BA,IA,AA,NA,TOM,NH,H
32798,2018,"Horry County,South Carolina",284818,45251,2054,4866,454,7237,323645,21035
32799,2019,"Horry County,South Carolina",293246,45948,2096,5187,481,7460,332534,21884
32811,2017,"Jasper County,South Carolina",15400,12220,244,262,22,408,24783,3773
32812,2018,"Jasper County,South Carolina",15993,12256,247,271,26,435,25360,3868
32813,2019,"Jasper County,South Carolina",16893,12349,254,276,31,491,26109,4185
32825,2017,"Kershaw County,South Carolina",47185,16120,298,465,40,1111,62344,2875
32826,2018,"Kershaw County,South Carolina",47661,16218,286,490,41,1160,62785,3071
32827,2019,"Kershaw County,South Carolina",48314,16353,318,497,49,1217,63500,3248
32839,2017,"Lancaster County,South Carolina",69344,20073,317,1312,43,1428,87616,4901
32840,2018,"Lancaster County,South Carolina",71452,20427,323,1445,43,1523,89962,5251
32841,2019,"Lancaster County,South Carolina",73812,20903,331,1582,41,1611,92499,5781
32853,2017,"Laurens County,South Carolina",48028,17069,263,378,94,1026,63540,3318
32854,2018,"Laurens County,South Carolina",48065,16973,263,390,95,1069,63446,3409
32855,2019,"Laurens County,South Carolina",48449,17072,285,419,97,1126,63865,3583
32867,2017,"Lee County,South Carolina",5887,11174,66,70,4,184,16963,422
32868,2018,"Lee County,South Carolina",5840,11091,75,71,4,188,16844,425
32869,2019,"Lee County,South Carolina",5792,10708,76,76,4,200,16431,425
32881,2017,"Lexington County,South Carolina",232560,44608,1521,6013,351,5458,273209,17302
32882,2018,"Lexington County,South Carolina",235061,45671,1579,6463,354,5638,276749,18017
32883,2019,"Lexington County,South Carolina",237744,47038,1618,6678,297,6046,280709,18712
32895,2017,"McCormick County,South Carolina",4963,4418,13,50,7,117,9429,139
32896,2018,"McCormick County,South Carolina",4975,4263,13,57,7,102,9285,132
32897,2019,"McCormick County,South Carolina",5062,4220,15,59,7,99,9325,137
32909,2017,"Marion County,South Carolina",12589,17842,221,204,6,426,30393,895
32910,2018,"Marion County,South Carolina",12441,17695,209,199,6,439,30108,881
32911,2019,"Marion County,South Carolina",12283,17404,226,203,6,443,29658,907
32923,2017,"Marlboro County,South Carolina",11089,13661,1284,124,9,541,25853,855
32924,2018,"Marlboro County,South Carolina",10897,13541,1276,122,11,566,25560,853
32925,2019,"Marlboro County,South Carolina",10744,13412,1293,114,12,582,25270,887
32937,2017,"Newberry County,South Carolina",25070,12017,299,266,112,613,35515,2862
32938,2018,"Newberry County,South Carolina",25292,11907,296,256,109,600,35534,2926
32939,2019,"Newberry County,South Carolina",25363,11732,314,264,116,619,35372,3036
32951,2017,"Oconee County,South Carolina",69185,5909,282,639,25,1342,73222,4160
32952,2018,"Oconee County,South Carolina",69865,5940,277,671,31,1431,73830,4385
32953,2019,"Oconee County,South Carolina",70891,6033,289,696,32,1509,74927,4523
32965,2017,"Orangeburg County,South Carolina",30330,54624,581,847,31,1251,85775,1889
32966,2018,"Orangeburg County,South Carolina",30155,54238,581,834,30,1268,85097,2009
32967,2019,"Orangeburg County,South Carolina",29968,53540,593,815,35,1280,84194,2037
32979,2017,"Pickens County,South Carolina",110141,8496,366,2422,39,2126,119068,4522
32980,2018,"Pickens County,South Carolina",111483,8630,368,2434,40,2221,120445,4731
32981,2019,"Pickens County,South Carolina",112638,9013,389,2495,51,2388,121903,5071
32993,2017,"Richland County,South Carolina",191067,197864,1529,11965,616,9451,391081,21411
32994,2018,"Richland County,South Carolina",190345,200739,1568,12058,620,9829,393111,22048
32995,2019,"Richland County,South Carolina",189052,203391,1589,12314,622,10059,394373,22654
33007,2017,"Saluda County,South Carolina",14155,5286,288,72,189,272,17169,3093
33008,2018,"Saluda County,South Carolina",14188,5282,300,85,188,290,17204,3129
33009,2019,"Saluda County,South Carolina",14237,5263,307,87,192,295,17202,3179
33021,2017,"Spartanburg County,South Carolina",227854,64065,1303,7546,206,6005,286275,20704
33022,2018,"Spartanburg County,South Carolina",232861,65729,1353,7905,231,6411,292452,22038
33023,2019,"Spartanburg County,South Carolina",236605,66995,1399,8313,241,6701,297058,23196
33035,2017,"Sumter County,South Carolina",51277,51106,532,1442,156,2091,102368,4236
33036,2018,"Sumter County,South Carolina",51124,51017,563,1458,142,2214,102218,4300
33037,2019,"Sumter County,South Carolina",51099,51021,575,1514,138,2288,102181,4454
33049,2017,"Union County,South Carolina",17916,8782,92,98,14,531,27027,406
33050,2018,"Union County,South Carolina",17791,8765,93,106,14,558,26884,443
33051,2019,"Union County,South Carolina",17743,8705,93,103,13,564,26744,477
33063,2017,"Williamsburg County,South Carolina",10245,20275,154,195,7,309,30498,687
33064,2018,"Williamsburg County,South Carolina",10209,20003,162,209,13,311,30146,761
33065,2019,"Williamsburg County,South Carolina",10016,19540,158,214,12,316,29578,678
33077,2017,"York County,South Carolina",200736,51583,2299,6112,221,5551,251958,14544
33078,2018,"York County,South Carolina",205691,52900,2371,6959,230,6037,258477,15711
33079,2019,"York County,South Carolina",210074,54472,2355,8040,246,6312,264789,16710
33091,2017,"Aurora County,South Dakota",2610,20,76,19,0,34,2585,174
33092,2018,"Aurora County,South Dakota",2622,20,77,19,0,37,2588,187
33093,2019,"Aurora County,South Dakota",2592,20,79,21,0,37,2548,201
33105,2017,"Beadle County,South Dakota",15715,234,268,1786,47,347,16497,1900
33106,2018,"Beadle County,South Dakota",15521,268,296,1731,64,359,16283,1956
33107,2019,"Beadle County,South Dakota",15492,306,313,1837,70,371,16327,2062
33119,2017,"Bennett County,South Dakota",1174,17,2086,19,1,150,3268,179
33120,2018,"Bennett County,South Dakota",1162,16,2118,18,2,166,3290,192
33121,2019,"Bennett County,South Dakota",1160,19,2008,18,2,157,3165,199
33133,2017,"Bon Homme County,South Dakota",6190,85,566,11,1,102,6770,185
33134,2018,"Bon Homme County,South Dakota",6116,95,585,18,3,102,6721,198
33135,2019,"Bon Homme County,South Dakota",6128,96,569,19,3,96,6700,211
33147,2017,"Brookings County,South Dakota",32291,581,400,1029,26,544,33756,1115
33148,2018,"Brookings County,South Dakota",32672,550,428,1019,28,569,34069,1197
33149,2019,"Brookings County,South Dakota",32796,532,430,1067,28,610,34140,1323
33161,2017,"Brown County,South Dakota",34811,846,1439,1324,95,817,38191,1141
33162,2018,"Brown County,South Dakota",34704,855,1398,1222,97,827,37766,1337
33163,2019,"Brown County,South Dakota",34442,863,1354,1281,101,842,37474,1409
33175,2017,"Brule County,South Dakota",4515,22,552,23,2,186,5166,134
33176,2018,"Brule County,South Dakota",4447,25,513,22,2,176,5041,144
33177,2019,"Brule County,South Dakota",4438,29,530,22,2,201,5059,163
33189,2017,"Buffalo County,South Dakota",316,13,1647,1,0,37,1927,87
33190,2018,"Buffalo County,South Dakota",322,14,1651,1,2,49,1950,89
33191,2019,"Buffalo County,South Dakota",306,13,1607,1,2,53,1888,94
33203,2017,"Butte County,South Dakota",9529,55,247,48,9,240,9740,388
33204,2018,"Butte County,South Dakota",9600,64,265,51,12,267,9883,376
33205,2019,"Butte County,South Dakota",9769,55,273,49,11,261,10017,401
33217,2017,"Campbell County,South Dakota",1340,3,13,7,0,10,1348,25
33218,2018,"Campbell County,South Dakota",1338,4,15,7,0,13,1347,30
33219,2019,"Campbell County,South Dakota",1336,3,21,7,0,13,1342,38
33231,2017,"Charles Mix County,South Dakota",6007,45,3026,26,1,297,9083,319
33232,2018,"Charles Mix County,South Dakota",5932,36,3010,27,1,303,8955,354
33233,2019,"Charles Mix County,South Dakota",5897,47,3017,25,1,299,8929,357
33245,2017,"Clark County,South Dakota",3546,56,22,17,0,36,3555,122
33246,2018,"Clark County,South Dakota",3579,64,25,16,0,37,3577,144
33247,2019,"Clark County,South Dakota",3609,57,26,12,0,36,3600,140
33259,2017,"Clay County,South Dakota",12567,232,511,403,10,352,13646,429
33260,2018,"Clay County,South Dakota",12443,227,564,386,12,353,13557,428
33261,2019,"Clay County,South Dakota",12577,232,530,394,11,352,13653,443
33273,2017,"Codington County,South Dakota",26589,217,742,206,3,462,27418,801
33274,2018,"Codington County,South Dakota",26432,200,799,202,3,462,27246,852
33275,2019,"Codington County,South Dakota",26410,225,798,203,3,453,27193,899
33287,2017,"Corson County,South Dakota",1254,19,2761,15,2,136,3986,201
33288,2018,"Corson County,South Dakota",1213,19,2758,16,2,129,3919,218
33289,2019,"Corson County,South Dakota",1218,19,2690,18,2,129,3868,208
33301,2017,"Custer County,South Dakota",8106,51,356,53,2,179,8408,339
33302,2018,"Custer County,South Dakota",8180,49,341,59,2,190,8490,331
33303,2019,"Custer County,South Dakota",8272,52,347,64,2,192,8573,356
33315,2017,"Davison County,South Dakota",18498,187,661,145,19,383,19322,571
33316,2018,"Davison County,South Dakota",18452,181,657,146,18,393,19217,630
33317,2019,"Davison County,South Dakota",18454,186,663,157,17,388,19156,709
33329,2017,"Day County,South Dakota",4835,21,521,29,0,92,5381,117
33330,2018,"Day County,South Dakota",4814,22,510,30,0,111,5363,124
33331,2019,"Day County,South Dakota",4726,24,518,32,0,114,5294,120
33343,2017,"Deuel County,South Dakota",4180,37,29,8,0,48,4149,153
33344,2018,"Deuel County,South Dakota",4187,36,32,11,0,51,4166,151
33345,2019,"Deuel County,South Dakota",4194,33,38,9,0,60,4170,164
33357,2017,"Dewey County,South Dakota",1203,19,4376,14,1,241,5610,244
33358,2018,"Dewey County,South Dakota",1203,23,4423,13,1,241,5648,256
33359,2019,"Dewey County,South Dakota",1190,26,4378,13,1,264,5613,259
33371,2017,"Douglas County,South Dakota",2790,16,66,3,0,39,2864,50
33372,2018,"Douglas County,South Dakota",2784,16,72,5,0,42,2868,51
33373,2019,"Douglas County,South Dakota",2769,15,75,4,0,48,2856,55
33385,2017,"Edmunds County,South Dakota",3794,16,43,22,0,40,3850,65
33386,2018,"Edmunds County,South Dakota",3730,12,49,23,0,39,3778,75
33387,2019,"Edmunds County,South Dakota",3735,13,49,24,0,36,3777,80
33399,2017,"Fall River County,South Dakota",5851,85,458,85,2,217,6429,269
33400,2018,"Fall River County,South Dakota",5900,81,432,97,3,217,6465,265
33401,2019,"Fall River County,South Dakota",5819,86,450,107,6,220,6426,262
33413,2017,"Faulk County,South Dakota",2277,9,12,9,0,17,2296,28
33414,2018,"Faulk County,South Dakota",2276,12,12,8,0,12,2293,27
33415,2019,"Faulk County,South Dakota",2260,17,12,8,0,10,2287,20
33427,2017,"Grant County,South Dakota",6921,45,90,29,5,89,6855,324
33428,2018,"Grant County,South Dakota",6855,44,105,27,6,86,6805,318
33429,2019,"Grant County,South Dakota",6832,50,90,30,5,95,6766,336
33441,2017,"Gregory County,South Dakota",3733,15,306,22,4,127,4140,67
33442,2018,"Gregory County,South Dakota",3695,17,325,23,4,133,4132,65
33443,2019,"Gregory County,South Dakota",3702,18,312,24,4,123,4117,66
33455,2017,"Haakon County,South Dakota",1795,5,47,6,2,64,1878,41
33456,2018,"Haakon County,South Dakota",1757,5,52,6,2,66,1851,37
33457,2019,"Haakon County,South Dakota",1738,5,52,6,2,63,1834,32
33469,2017,"Hamlin County,South Dakota",5887,25,47,22,1,50,5743,289
33470,2018,"Hamlin County,South Dakota",5955,31,51,23,1,52,5816,297
33471,2019,"Hamlin County,South Dakota",6048,33,55,22,1,65,5910,314
33483,2017,"Hand County,South Dakota",3205,5,17,12,1,33,3229,44
33484,2018,"Hand County,South Dakota",3166,4,17,13,1,33,3190,44
33485,2019,"Hand County,South Dakota",3104,5,16,13,1,31,3127,43
33497,2017,"Hanson County,South Dakota",3330,16,13,13,1,38,3366,45
33498,2018,"Hanson County,South Dakota",3292,16,13,13,1,34,3319,50
33499,2019,"Hanson County,South Dakota",3347,29,24,14,1,48,3410,53
33511,2017,"Harding County,South Dakota",1172,14,26,6,0,25,1215,28
33512,2018,"Harding County,South Dakota",1176,17,28,7,0,24,1220,32
33513,2019,"Harding County,South Dakota",1227,17,33,7,0,23,1274,33
33525,2017,"Hughes County,South Dakota",14856,135,2076,131,7,492,17103,594
33526,2018,"Hughes County,South Dakota",14764,130,2116,132,8,513,17062,601
33527,2019,"Hughes County,South Dakota",14630,120,2103,134,7,493,16901,586
33539,2017,"Hutchinson County,South Dakota",7066,64,114,19,3,81,7150,197
33540,2018,"Hutchinson County,South Dakota",7010,66,112,23,2,79,7111,181
33541,2019,"Hutchinson County,South Dakota",7007,65,112,22,2,79,7099,188
33553,2017,"Hyde County,South Dakota",1140,5,121,3,1,29,1280,19
33554,2018,"Hyde County,South Dakota",1115,7,109,3,1,30,1246,19
33555,2019,"Hyde County,South Dakota",1135,10,116,3,1,30,1275,20
33567,2017,"Jackson County,South Dakota",1327,26,1755,9,1,159,3159,118
33568,2018,"Jackson County,South Dakota",1304,29,1775,8,1,160,3155,122
33569,2019,"Jackson County,South Dakota",1332,28,1798,8,1,168,3206,129
33581,2017,"Jerauld County,South Dakota",1973,3,13,5,3,23,1926,94
33582,2018,"Jerauld County,South Dakota",1959,10,16,5,3,24,1913,104
33583,2019,"Jerauld County,South Dakota",1958,7,17,5,3,24,1915,99
33595,2017,"Jones County,South Dakota",848,3,31,0,3,33,897,21
33596,2018,"Jones County,South Dakota",843,3,40,0,3,35,901,23
33597,2019,"Jones County,South Dakota",819,3,54,0,2,33,887,24
33609,2017,"Kingsbury County,South Dakota",4743,22,58,28,1,70,4818,104
33610,2018,"Kingsbury County,South Dakota",4717,21,56,32,1,69,4780,116
33611,2019,"Kingsbury County,South Dakota",4739,22,59,31,1,55,4779,128
33623,2017,"Lake County,South Dakota",12193,128,178,130,7,178,12498,316
33624,2018,"Lake County,South Dakota",12385,140,184,134,7,195,12693,352
33625,2019,"Lake County,South Dakota",12093,151,180,117,17,211,12411,358
33637,2017,"Lawrence County,South Dakota",23962,229,612,364,16,553,24915,821
33638,2018,"Lawrence County,South Dakota",24046,223,618,342,18,529,24906,870
33639,2019,"Lawrence County,South Dakota",24096,240,606,381,18,567,25001,907
33651,2017,"Lincoln County,South Dakota",53662,870,419,778,30,973,55537,1195
33652,2018,"Lincoln County,South Dakota",55684,896,440,815,33,1013,57538,1343
33653,2019,"Lincoln County,South Dakota",57613,1086,468,939,38,1091,59763,1472
33665,2017,"Lyman County,South Dakota",2188,20,1517,13,2,129,3781,88
33666,2018,"Lyman County,South Dakota",2146,27,1479,13,2,129,3699,97
33667,2019,"Lyman County,South Dakota",2121,22,1512,15,2,115,3692,95
33679,2017,"McCook County,South Dakota",5369,34,61,13,4,68,5333,216
33680,2018,"McCook County,South Dakota",5370,48,65,14,4,71,5332,240
33681,2019,"McCook County,South Dakota",5360,38,72,13,5,72,5337,223
33693,2017,"McPherson County,South Dakota",2342,15,6,12,2,26,2371,32
33694,2018,"McPherson County,South Dakota",2342,19,6,9,2,27,2369,36
33695,2019,"McPherson County,South Dakota",2314,17,10,9,2,36,2351,37
33707,2017,"Marshall County,South Dakota",4301,33,467,13,0,84,4484,414
33708,2018,"Marshall County,South Dakota",4262,35,487,14,0,75,4475,398
33709,2019,"Marshall County,South Dakota",4298,35,479,13,0,88,4519,394
33721,2017,"Meade County,South Dakota",25413,583,791,346,31,843,26822,1185
33722,2018,"Meade County,South Dakota",25662,591,835,283,33,901,27021,1284
33723,2019,"Meade County,South Dakota",25747,575,871,325,24,927,27185,1284
33735,2017,"Mellette County,South Dakota",807,6,1143,5,0,105,1987,79
33736,2018,"Mellette County,South Dakota",766,7,1145,4,0,110,1953,79
33737,2019,"Mellette County,South Dakota",778,10,1152,4,0,124,1998,70
33749,2017,"Miner County,South Dakota",2122,19,15,12,0,32,2133,67
33750,2018,"Miner County,South Dakota",2132,17,15,13,0,34,2139,72
33751,2019,"Miner County,South Dakota",2141,17,16,13,0,34,2150,71
33763,2017,"Minnehaha County,South Dakota",163916,11397,5395,4287,208,4583,179959,9827
33764,2018,"Minnehaha County,South Dakota",164772,11735,5472,4245,209,4817,181215,10035
33765,2019,"Minnehaha County,South Dakota",166757,12300,5553,4308,227,5008,183834,10319
33777,2017,"Moody County,South Dakota",5156,82,896,137,0,212,6188,295
33778,2018,"Moody County,South Dakota",5165,80,890,133,0,211,6185,294
33779,2019,"Moody County,South Dakota",5222,81,898,129,0,225,6258,297
33791,2017,"Oglala Lakota County,South Dakota",714,40,13388,18,8,224,13859,533
33792,2018,"Oglala Lakota County,South Dakota",731,34,13311,22,4,222,13750,574
33793,2019,"Oglala Lakota County,South Dakota",741,47,13136,18,5,224,13591,580
33805,2017,"Pennington County,South Dakota",92218,1573,11202,1343,110,4240,104856,5830
33806,2018,"Pennington County,South Dakota",93368,1641,11448,1363,121,4319,106152,6108
33807,2019,"Pennington County,South Dakota",95057,1639,11636,1472,128,4475,108072,6335
33819,2017,"Perkins County,South Dakota",2822,15,75,8,2,40,2911,51
33820,2018,"Perkins County,South Dakota",2761,15,70,13,2,38,2852,47
33821,2019,"Perkins County,South Dakota",2688,15,77,12,2,39,2783,50
33833,2017,"Potter County,South Dakota",2093,10,58,18,1,36,2169,47
33834,2018,"Potter County,South Dakota",2078,11,63,19,1,33,2159,46
33835,2019,"Potter County,South Dakota",2019,12,63,20,1,34,2096,53
33847,2017,"Roberts County,South Dakota",5937,66,3899,28,1,338,9904,365
33848,2018,"Roberts County,South Dakota",5924,64,4015,29,1,325,9943,415
33849,2019,"Roberts County,South Dakota",5952,81,3979,30,1,356,9987,412
33861,2017,"Sanborn County,South Dakota",2382,5,10,7,1,32,2352,85
33862,2018,"Sanborn County,South Dakota",2325,5,11,7,0,39,2307,80
33863,2019,"Sanborn County,South Dakota",2275,9,12,5,1,43,2266,79
33875,2017,"Spink County,South Dakota",6214,42,184,6,1,69,6298,218
33876,2018,"Spink County,South Dakota",6177,43,176,6,1,66,6254,215
33877,2019,"Spink County,South Dakota",6102,44,175,11,2,67,6178,223
33889,2017,"Stanley County,South Dakota",2673,24,206,10,0,74,2917,70
33890,2018,"Stanley County,South Dakota",2721,22,208,8,0,76,2961,74
33891,2019,"Stanley County,South Dakota",2769,23,219,8,0,110,3055,74
33903,2017,"Sully County,South Dakota",1321,6,41,3,0,29,1357,43
33904,2018,"Sully County,South Dakota",1299,6,43,3,0,22,1335,38
33905,2019,"Sully County,South Dakota",1295,6,48,3,0,25,1341,36
33917,2017,"Todd County,South Dakota",854,38,8976,228,0,236,9928,404
33918,2018,"Todd County,South Dakota",860,47,8962,242,0,230,9940,401
33919,2019,"Todd County,South Dakota",814,49,8913,305,0,222,9903,400
33931,2017,"Tripp County,South Dakota",4470,32,790,18,0,138,5348,100
33932,2018,"Tripp County,South Dakota",4458,30,819,21,0,156,5354,130
33933,2019,"Tripp County,South Dakota",4375,30,852,20,0,153,5295,135
33945,2017,"Turner County,South Dakota",8058,44,85,17,5,81,8086,204
33946,2018,"Turner County,South Dakota",8128,51,98,18,4,93,8168,224
33947,2019,"Turner County,South Dakota",8044,53,89,20,3,107,8106,210
33959,2017,"Union County,South Dakota",14508,167,137,247,10,242,14843,468
33960,2018,"Union County,South Dakota",14760,197,137,270,6,246,15092,524
33961,2019,"Union County,South Dakota",15065,241,147,265,17,268,15404,599
33973,2017,"Walworth County,South Dakota",4408,25,791,78,1,177,5358,122
33974,2018,"Walworth County,South Dakota",4364,23,804,80,1,178,5323,127
33975,2019,"Walworth County,South Dakota",4353,28,769,89,1,181,5294,127
33987,2017,"Yankton County,South Dakota",20905,483,713,155,11,424,21605,1086
33988,2018,"Yankton County,South Dakota",20996,484,745,156,11,415,21653,1154
33989,2019,"Yankton County,South Dakota",20979,488,772,167,11,420,21619,1218
34001,2017,"Ziebach County,South Dakota",676,13,1942,6,1,109,2639,108
34002,2018,"Ziebach County,South Dakota",684,13,1950,6,1,105,2639,120
34003,2019,"Ziebach County,South Dakota",690,15,1989,6,1,100,2695,106
34015,2017,"Anderson County,Tennessee",69815,3100,336,1168,55,1639,73921,2192
34016,2018,"Anderson County,Tennessee",70017,3050,355,1137,65,1713,73993,2344
34017,2019,"Anderson County,Tennessee",70476,3144,379,1149,74,1769,74542,2449
34029,2017,"Bedford County,Tennessee",42012,4032,557,519,83,1011,42294,5920
34030,2018,"Bedford County,Tennessee",42672,4183,593,532,85,1088,42850,6303
34031,2019,"Bedford County,Tennessee",43126,4233,620,538,88,1079,43165,6519
34043,2017,"Benton County,Tennessee",15181,373,86,93,2,254,15629,360
34044,2018,"Benton County,Tennessee",15396,396,90,93,3,275,15851,402
34045,2019,"Benton County,Tennessee",15331,410,91,96,3,268,15798,401
34057,2017,"Bledsoe County,Tennessee",13489,1105,85,35,5,188,14541,366
34058,2018,"Bledsoe County,Tennessee",13401,1115,91,41,5,194,14458,389
34059,2019,"Bledsoe County,Tennessee",13597,1131,96,46,5,210,14658,427
34071,2017,"Blount County,Tennessee",122158,3954,538,1182,108,2166,125745,4361
34072,2018,"Blount County,Tennessee",123470,4003,554,1208,140,2220,127037,4558
34073,2019,"Blount County,Tennessee",125021,4035,583,1278,151,2328,128530,4866
34085,2017,"Bradley County,Tennessee",96119,5379,708,1258,123,1988,99071,6504
34086,2018,"Bradley County,Tennessee",97401,5611,725,1295,134,2105,100361,6910
34087,2019,"Bradley County,Tennessee",98107,5700,747,1334,150,2195,101011,7222
34099,2017,"Campbell County,Tennessee",38871,196,124,138,30,465,39266,558
34100,2018,"Campbell County,Tennessee",38840,199,134,143,31,473,39227,593
34101,2019,"Campbell County,Tennessee",38800,196,122,149,30,481,39171,607
34113,2017,"Cannon County,Tennessee",13576,241,47,47,15,236,13839,323
34114,2018,"Cannon County,Tennessee",13792,258,47,53,14,231,14042,353
34115,2019,"Cannon County,Tennessee",13973,262,53,56,14,225,14217,366
34127,2017,"Carroll County,Tennessee",24166,2838,164,102,13,541,27070,754
34128,2018,"Carroll County,Tennessee",24247,2834,171,121,13,551,27165,772
34129,2019,"Carroll County,Tennessee",24020,2809,171,118,14,578,26902,808
34141,2017,"Carter County,Tennessee",54513,875,156,224,15,743,55423,1103
34142,2018,"Carter County,Tennessee",54368,910,170,222,15,752,55334,1103
34143,2019,"Carter County,Tennessee",54189,949,187,230,18,823,55244,1152
34155,2017,"Cheatham County,Tennessee",38590,731,213,174,29,699,39196,1240
34156,2018,"Cheatham County,Tennessee",38594,796,226,182,30,711,39182,1357
34157,2019,"Cheatham County,Tennessee",38792,877,228,175,29,727,39353,1475
34169,2017,"Chester County,Tennessee",15044,1569,92,108,5,335,16687,466
34170,2018,"Chester County,Tennessee",15072,1625,89,123,5,365,16788,491
34171,2019,"Chester County,Tennessee",15127,1617,98,117,5,342,16816,490
34183,2017,"Claiborne County,Tennessee",30511,371,113,270,7,428,31284,416
34184,2018,"Claiborne County,Tennessee",30625,362,111,284,9,432,31421,402
34185,2019,"Claiborne County,Tennessee",30720,348,118,288,9,436,31486,433
34197,2017,"Clay County,Tennessee",7390,129,28,8,8,98,7487,174
34198,2018,"Clay County,Tennessee",7375,125,30,8,8,108,7469,185
34199,2019,"Clay County,Tennessee",7328,121,37,8,8,95,7409,188
34211,2017,"Cocke County,Tennessee",33828,743,207,159,25,602,34699,865
34212,2018,"Cocke County,Tennessee",34161,762,207,163,20,624,35016,921
34213,2019,"Cocke County,Tennessee",34214,765,209,179,24,626,35028,989
34225,2017,"Coffee County,Tennessee",50948,2052,261,594,49,1224,52744,2384
34226,2018,"Coffee County,Tennessee",51683,2150,278,610,56,1272,53470,2579
34227,2019,"Coffee County,Tennessee",52118,2234,300,669,59,1337,53958,2759
34239,2017,"Crockett County,Tennessee",11978,2039,87,47,4,288,12915,1528
34240,2018,"Crockett County,Tennessee",11796,2026,100,51,4,299,12734,1542
34241,2019,"Crockett County,Tennessee",11733,1998,103,55,4,296,12625,1564
34253,2017,"Cumberland County,Tennessee",57298,414,259,348,64,694,57339,1738
34254,2018,"Cumberland County,Tennessee",58168,414,266,382,63,678,58199,1772
34255,2019,"Cumberland County,Tennessee",58974,447,281,390,66,674,58966,1866
34267,2017,"Davidson County,Tennessee",448493,192121,3455,25897,797,17045,617725,70083
34268,2018,"Davidson County,Tennessee",451143,191551,3370,26977,811,17446,619901,71397
34269,2019,"Davidson County,Tennessee",453582,190572,3441,26896,783,17725,620949,72050
34281,2017,"Decatur County,Tennessee",11092,370,34,61,12,142,11345,366
34282,2018,"Decatur County,Tennessee",11059,342,44,68,11,145,11296,373
34283,2019,"Decatur County,Tennessee",10978,349,48,75,11,147,11217,391
34295,2017,"DeKalb County,Tennessee",18879,377,87,182,5,287,18200,1617
34296,2018,"DeKalb County,Tennessee",19058,392,94,208,6,287,18390,1655
34297,2019,"DeKalb County,Tennessee",19378,401,94,212,6,318,18726,1683
34309,2017,"Dickson County,Tennessee",48938,2188,263,347,29,1046,50918,1893
34310,2018,"Dickson County,Tennessee",49567,2187,271,340,30,1072,51467,2000
34311,2019,"Dickson County,Tennessee",49850,2200,300,364,33,1109,51773,2083
34323,2017,"Dyer County,Tennessee",30970,5304,148,260,12,674,36086,1282
34324,2018,"Dyer County,Tennessee",30768,5366,141,248,12,698,35933,1300
34325,2019,"Dyer County,Tennessee",30557,5440,160,264,12,689,35799,1323
34337,2017,"Fayette County,Tennessee",28240,11112,138,266,14,386,39074,1082
34338,2018,"Fayette County,Tennessee",28411,11253,152,286,15,412,39384,1145
34339,2019,"Fayette County,Tennessee",28828,11319,156,291,19,431,39804,1240
34351,2017,"Fentress County,Tennessee",17830,82,62,70,4,192,17954,286
34352,2018,"Fentress County,Tennessee",17929,88,66,81,4,194,18062,300
34353,2019,"Fentress County,Tennessee",18099,91,75,90,4,209,18277,291
34365,2017,"Franklin County,Tennessee",38114,2132,196,385,39,796,40285,1377
34366,2018,"Franklin County,Tennessee",38403,2144,198,405,41,825,40516,1500
34367,2019,"Franklin County,Tennessee",38549,2196,210,390,39,871,40712,1543
34379,2017,"Gibson County,Tennessee",38951,9126,148,150,12,870,47921,1336
34380,2018,"Gibson County,Tennessee",39001,8952,155,158,12,903,47836,1345
34381,2019,"Gibson County,Tennessee",38929,8859,151,185,12,978,47727,1387
34393,2017,"Giles County,Tennessee",25397,3121,114,141,13,615,28633,768
34394,2018,"Giles County,Tennessee",25477,3025,137,144,13,638,28580,854
34395,2019,"Giles County,Tennessee",25489,3015,144,149,17,667,28561,920
34407,2017,"Grainger County,Tennessee",22516,195,93,55,14,246,22339,780
34408,2018,"Grainger County,Tennessee",22504,222,100,58,14,262,22344,816
34409,2019,"Grainger County,Tennessee",22714,227,109,65,14,277,22594,812
34421,2017,"Greene County,Tennessee",65851,1492,238,363,50,872,66873,1993
34422,2018,"Greene County,Tennessee",66129,1529,252,384,52,891,67137,2100
34423,2019,"Greene County,Tennessee",65987,1518,252,398,59,913,67005,2122
34435,2017,"Grundy County,Tennessee",12944,80,87,56,1,168,13160,176
34436,2018,"Grundy County,Tennessee",12959,79,84,57,1,163,13155,188
34437,2019,"Grundy County,Tennessee",12999,90,85,58,1,176,13226,183
34449,2017,"Hamblen County,Tennessee",58691,2821,522,620,170,1260,56675,7409
34450,2018,"Hamblen County,Tennessee",59113,2862,541,667,195,1276,57023,7631
34451,2019,"Hamblen County,Tennessee",59247,2904,547,677,190,1308,57124,7749
34463,2017,"Hamilton County,Tennessee",273925,70676,2049,7533,513,6666,341083,20279
34464,2018,"Hamilton County,Tennessee",276478,70891,2059,7826,502,6870,343508,21118
34465,2019,"Hamilton County,Tennessee",279060,71067,2077,7995,549,7028,345856,21920
34477,2017,"Hancock County,Tennessee",6422,34,23,13,3,97,6558,34
34478,2018,"Hancock County,Tennessee",6375,34,25,13,3,102,6509,43
34479,2019,"Hancock County,Tennessee",6424,37,27,15,3,99,6561,44
34491,2017,"Hardeman County,Tennessee",14154,10739,83,187,3,325,25022,469
34492,2018,"Hardeman County,Tennessee",13955,10670,82,199,5,359,24813,457
34493,2019,"Hardeman County,Tennessee",13812,10581,86,198,6,366,24587,462
34505,2017,"Hardin County,Tennessee",24157,862,152,143,9,385,25067,641
