,YEAR,C_S,WA,BA,IA,AA,NA,TOM,NH,H
891,2017,"Walker County,Alabama",58252,3928,336,346,64,1003,62335,1594
892,2018,"Walker County,Alabama",58034,3894,342,335,65,1031,62044,1657
893,2019,"Walker County,Alabama",57969,3905,349,341,70,1046,61973,1707
905,2017,"Washington County,Alabama",10950,3925,1256,115,17,221,16235,249
906,2018,"Washington County,Alabama",10852,3846,1261,118,18,241,16085,251
907,2019,"Washington County,Alabama",10815,3812,1265,124,20,243,16026,253
919,2017,"Wilcox County,Alabama",2960,7599,24,23,2,96,10549,155
920,2018,"Wilcox County,Alabama",2885,7545,24,29,2,107,10438,154
921,2019,"Wilcox County,Alabama",2846,7385,24,25,2,114,10239,157
933,2017,"Winston County,Alabama",22864,201,205,85,48,350,23027,726
934,2018,"Winston County,Alabama",22783,211,203,86,48,359,22956,734
935,2019,"Winston County,Alabama",22730,238,199,84,49,400,22941,759
947,2017,"Aleutians East Borough,Alaska",741,343,709,1484,35,133,2955,490
948,2018,"Aleutians East Borough,Alaska",706,349,706,1457,38,135,2889,502
949,2019,"Aleutians East Borough,Alaska",710,337,675,1461,37,135,2844,511
961,2017,"Aleutians West Census Area,Alaska",1921,397,682,2349,156,255,4956,804
962,2018,"Aleutians West Census Area,Alaska",1905,388,680,2294,152,259,4889,789
963,2019,"Aleutians West Census Area,Alaska",1891,396,686,2296,171,262,4918,784
975,2017,"Anchorage Municipality,Alaska",189392,17839,25489,28831,8827,24740,267600,27518
976,2018,"Anchorage Municipality,Alaska",185750,17621,25491,28778,8913,24824,263927,27450
977,2019,"Anchorage Municipality,Alaska",183201,17193,25633,28811,9058,24894,261264,27526
989,2017,"Bethel Census Area,Alaska",1867,128,15168,188,38,713,17761,341
990,2018,"Bethel Census Area,Alaska",1810,146,15365,189,43,714,17916,351
991,2019,"Bethel Census Area,Alaska",1862,148,15529,196,38,720,18132,361
1003,2017,"Bristol Bay Borough,Alaska",399,6,289,12,3,160,823,46
1004,2018,"Bristol Bay Borough,Alaska",398,8,291,12,3,169,818,63
1005,2019,"Bristol Bay Borough,Alaska",350,6,295,13,2,174,774,66
1017,2017,"Chugach Census Area,Alaska",4789,62,762,391,45,460,6160,349
1018,2018,"Chugach Census Area,Alaska",4730,68,779,409,40,461,6134,353
1019,2019,"Chugach Census Area,Alaska",4714,71,783,434,43,464,6149,360
1031,2017,"Copper River Census Area,Alaska",2040,22,554,50,12,209,2760,127
1032,2018,"Copper River Census Area,Alaska",2029,20,546,60,11,214,2747,133
1033,2019,"Copper River Census Area,Alaska",2041,20,535,68,10,212,2746,140
1045,2017,"Denali Borough,Alaska",1738,45,110,112,1,97,2024,79
1046,2018,"Denali Borough,Alaska",1690,48,110,111,1,87,1979,68
1047,2019,"Denali Borough,Alaska",1750,54,110,117,1,93,2043,82
1059,2017,"Dillingham Census Area,Alaska",796,30,3585,42,7,474,4788,146
1060,2018,"Dillingham Census Area,Alaska",811,33,3638,42,12,467,4848,155
1061,2019,"Dillingham Census Area,Alaska",779,31,3590,45,9,478,4788,144
