,fips,date,cases
2020,02220,6,281
2020,02220,7,697
2020,02220,8,1301
2020,02220,9,1660
2020,02220,10,2200
2020,02220,11,3892
2020,02220,12,7497
2020,02230,10,83
2020,02230,11,235
2020,02230,12,420
2020,02240,4,28
2020,02240,5,75
2020,02240,6,170
2020,02240,7,658
2020,02240,8,924
2020,02240,9,1056
2020,02240,10,1777
2020,02240,11,5132
2020,02240,12,11268
2020,02261,5,34
2020,02261,6,407
2020,02261,7,1567
2020,02261,8,3347
2020,02261,9,3700
2020,02261,10,4508
2020,02261,11,6501
2020,02261,12,9317
2020,02275,6,89
2020,02275,7,248
2020,02275,8,441
2020,02275,9,552
2020,02275,10,589
2020,02275,11,572
2020,02275,12,690
2020,02290,4,29
2020,02290,5,31
2020,02290,6,45
2020,02290,7,650
2020,02290,8,1837
2020,02290,9,2338
2020,02290,10,3074
2020,02290,11,4273
2020,02290,12,6031
2020,02997,5,12
2020,02997,6,330
2020,02997,7,1832
2020,02997,8,2324
2020,02997,9,2581
2020,02997,10,3088
2020,02997,11,3912
2020,02997,12,4753
2020,02998,7,32
2020,02998,8,358
2020,02998,9,796
2020,02998,10,1024
2020,02998,11,1243
2020,02998,12,1556
2020,04001,3,100
2020,04001,4,4790
2020,04001,5,29052
2020,04001,6,58966
2020,04001,7,82964
2020,04001,8,100075
2020,04001,9,102807
2020,04001,10,116509
2020,04001,11,136779
2020,04001,12,202900
2020,04003,3,23
2020,04003,4,610
2020,04003,5,1535
2020,04003,6,8607
2020,04003,7,34825
2020,04003,8,53377
2020,04003,9,56096
2020,04003,10,63186
2020,04003,11,85179
2020,04003,12,174811
2020,04005,3,445
2020,04005,4,8525
2020,04005,5,25775
2020,04005,6,43358
2020,04005,7,78599
2020,04005,8,98057
2020,04005,9,109667
2020,04005,10,145427
2020,04005,11,192304
2020,04005,12,292470
2020,04007,3,4
2020,04007,4,184
2020,04007,5,649
2020,04007,6,3567
2020,04007,7,16100
2020,04007,8,30634
2020,04007,9,36067
2020,04007,10,51779
2020,04007,11,72649
2020,04007,12,117228
2020,04009,3,30
2020,04009,4,113
2020,04009,5,655
2020,04009,6,1693
2020,04009,7,8068
2020,04009,8,18676
2020,04009,9,23505
2020,04009,10,31532
2020,04009,11,51012
2020,04009,12,83755
2020,04011,3,2
2020,04011,4,50
2020,04011,5,81
2020,04011,6,372
2020,04011,7,1106
2020,04011,8,1773
2020,04011,9,1751
2020,04011,10,2368
2020,04011,11,4418
2020,04011,12,10307
2020,04012,3,12
2020,04012,4,150
2020,04012,5,1105
2020,04012,6,6828
2020,04012,7,12921
2020,04012,8,15108
2020,04012,9,15832
2020,04012,10,18115
2020,04012,11,21241
2020,04012,12,35106
2020,04013,1,6
2020,04013,2,29
2020,04013,3,4017
2020,04013,4,68745
2020,04013,5,214115
2020,04013,6,723691
2020,04013,7,2705670
2020,04013,8,3979145
2020,04013,9,4148676
2020,04013,10,4626339
2020,04013,11,5395879
2020,04013,12,8277933
2020,04015,3,31
2020,04015,4,1477
2020,04015,5,7539
2020,04015,6,19921
2020,04015,7,65119
2020,04015,8,103610
2020,04015,9,115074
2020,04015,10,129401
2020,04015,11,156703
2020,04015,12,286360
2020,04017,3,516
2020,04017,4,12054
2020,04017,5,38371
2020,04017,6,81603
2020,04017,7,140664
2020,04017,8,168605
2020,04017,9,171325
2020,04017,10,188286
2020,04017,11,217204
2020,04017,12,305950
2020,04019,3,1021
2020,04019,4,22392
2020,04019,5,54956
2020,04019,6,138281
2020,04019,7,387350
2020,04019,8,594966
2020,04019,9,701862
2020,04019,10,832235
2020,04019,11,1004897
2020,04019,12,1706150
2020,04021,3,457
2020,04021,4,6363
2020,04021,5,20364
2020,04021,6,56985
2020,04021,7,188231
2020,04021,8,273193
2020,04021,9,306499
2020,04021,10,350055
2020,04021,11,422092
2020,04021,12,693364
2020,04023,3,20
2020,04023,4,473
2020,04023,5,3309
2020,04023,6,33481
2020,04023,7,69804
2020,04023,8,83564
2020,04023,9,84030
2020,04023,10,91142
2020,04023,11,101662
2020,04023,12,157129
2020,04025,3,98
2020,04025,4,1908
2020,04025,5,6911
2020,04025,6,13066
2020,04025,7,39512
2020,04025,8,65496
2020,04025,9,73163
2020,04025,10,86006
2020,04025,11,118431
2020,04025,12,267601
2020,04027,3,54
2020,04027,4,834
2020,04027,5,12693
2020,04027,6,106812
2020,04027,7,274209
2020,04027,8,365201
2020,04027,9,374203
2020,04027,10,409647
2020,04027,11,469048
2020,04027,12,717423
2020,05001,3,5
2020,05001,4,53
2020,05001,5,78
2020,05001,6,419
2020,05001,7,3114
2020,05001,8,7502
2020,05001,9,10133
2020,05001,10,18036
2020,05001,11,25407
2020,05001,12,35240
2020,05003,3,3
2020,05003,4,294
2020,05003,5,555
2020,05003,6,1351
2020,05003,7,3954
2020,05003,8,10593
2020,05003,9,12286
2020,05003,10,15369
2020,05003,11,20905
2020,05003,12,33765
2020,05005,3,8
2020,05005,4,128
2020,05005,5,195
2020,05005,6,437
2020,05005,7,1193
2020,05005,8,2851
2020,05005,9,7081
2020,05005,10,16528
2020,05005,11,33048
2020,05005,12,54034
2020,05007,3,211
2020,05007,4,1862
2020,05007,5,6388
2020,05007,6,47719
2020,05007,7,113078
2020,05007,8,152572
2020,05007,9,180551
2020,05007,10,233518
2020,05007,11,310951
2020,05007,12,463420
2020,05009,3,14
2020,05009,4,106
2020,05009,5,146
2020,05009,6,350
2020,05009,7,2216
2020,05009,8,7431
2020,05009,9,16559
2020,05009,10,28741
2020,05009,11,42285
2020,05009,12,69024
2020,05011,3,38
2020,05011,4,191
2020,05011,5,435
2020,05011,6,1038
2020,05011,7,2719
2020,05011,8,6875
2020,05011,9,9728
2020,05011,10,11051
2020,05011,11,12427
2020,05011,12,22763
2020,05013,7,162
2020,05013,8,577
2020,05013,9,897
2020,05013,10,1332
2020,05013,11,3162
2020,05013,12,5817
2020,05015,4,69
2020,05015,5,304
2020,05015,6,2727
2020,05015,7,7888
2020,05015,8,12270
2020,05015,9,17239
2020,05015,10,27774
2020,05015,11,36267
2020,05015,12,55937
2020,05017,3,9
2020,05017,4,178
2020,05017,5,348
2020,05017,6,1835
2020,05017,7,7942
2020,05017,8,25538
2020,05017,9,29539
2020,05017,10,31925
2020,05017,11,33179
2020,05017,12,40929
2020,05019,3,140
2020,05019,4,813
2020,05019,5,1072
2020,05019,6,1416
2020,05019,7,2897
2020,05019,8,5955
2020,05019,9,8801
2020,05019,10,13844
2020,05019,11,20403
2020,05019,12,34563
2020,05021,4,34
2020,05021,5,108
2020,05021,6,764
2020,05021,7,2645
2020,05021,8,4504
2020,05021,9,7331
2020,05021,10,12836
2020,05021,11,20594
2020,05021,12,35593
2020,05023,3,482
2020,05023,4,2081
2020,05023,5,2247
2020,05023,6,2305
2020,05023,7,4425
2020,05023,8,6841
2020,05023,9,8895
2020,05023,10,12800
2020,05023,11,18159
2020,05023,12,29910
2020,05025,3,43
2020,05025,4,234
2020,05025,5,471
2020,05025,6,641
2020,05025,7,1308
2020,05025,8,3464
2020,05025,9,4906
2020,05025,10,6484
2020,05025,11,9252
2020,05025,12,14900
2020,05027,3,11
2020,05027,4,145
2020,05027,5,528
2020,05027,6,1189
2020,05027,7,3914
2020,05027,8,7564
2020,05027,9,11030
2020,05027,10,19742
2020,05027,11,27120
2020,05027,12,41906
2020,05029,3,15
2020,05029,4,183
2020,05029,5,422
2020,05029,6,794
2020,05029,7,3113
2020,05029,8,5221
2020,05029,9,7146
2020,05029,10,9980
2020,05029,11,15306
2020,05029,12,30775
2020,05031,3,49
2020,05031,4,1214
2020,05031,5,4281
2020,05031,6,10714
2020,05031,7,21625
2020,05031,8,46343
2020,05031,9,73692
2020,05031,10,121442
2020,05031,11,181239
2020,05031,12,269504
2020,05033,3,12
2020,05033,4,108
2020,05033,5,327
2020,05033,6,2283
2020,05033,7,10145
2020,05033,8,22566
2020,05033,9,34843
2020,05033,10,56395
2020,05033,11,79405
2020,05033,12,117922
2020,05035,3,112
2020,05035,4,3432
2020,05035,5,7679
2020,05035,6,16463
2020,05035,7,28645
2020,05035,8,45218
2020,05035,9,54681
2020,05035,10,67671
2020,05035,11,87157
2020,05035,12,118583
2020,05037,3,12
2020,05037,4,253
2020,05037,5,1104
2020,05037,6,2217
2020,05037,7,3546
2020,05037,8,6828
2020,05037,9,11214
2020,05037,10,16505
2020,05037,11,21374
2020,05037,12,35176
2020,05039,4,27
2020,05039,5,31
2020,05039,6,137
2020,05039,7,676
2020,05039,8,2427
2020,05039,9,4490
2020,05039,10,5452
2020,05039,11,7133
2020,05039,12,12447
2020,05041,3,24
2020,05041,4,249
2020,05041,5,545
2020,05041,6,808
2020,05041,7,2935
2020,05041,8,6346
2020,05041,9,8093
2020,05041,10,11318
2020,05041,11,14705
2020,05041,12,24222
2020,05043,3,13
2020,05043,4,222
2020,05043,5,573
2020,05043,6,977
2020,05043,7,3269
2020,05043,8,7623
2020,05043,9,10080
2020,05043,10,12279
2020,05043,11,16361
2020,05043,12,36642
2020,05045,3,241
2020,05045,4,1778
2020,05045,5,2775
2020,05045,6,6625
2020,05045,7,26134
2020,05045,8,43794
2020,05045,9,62864
2020,05045,10,94688
2020,05045,11,123837
2020,05045,12,193041
2020,05047,4,31
2020,05047,5,80
2020,05047,6,277
2020,05047,7,1472
2020,05047,8,4274
2020,05047,9,6767
2020,05047,10,13530
2020,05047,11,20277
2020,05047,12,29685
2020,05049,4,8
2020,05049,5,124
2020,05049,6,267
2020,05049,7,602
2020,05049,8,1501
2020,05049,9,3390
2020,05049,10,8077
2020,05049,11,13410
2020,05049,12,21735
2020,05051,3,217
2020,05051,4,2596
2020,05051,5,3913
2020,05051,6,5144
2020,05051,7,14075
2020,05051,8,35858
2020,05051,9,50332
2020,05051,10,69485
2020,05051,11,96361
2020,05051,12,148537
2020,05053,3,29
2020,05053,4,270
2020,05053,5,486
2020,05053,6,748
2020,05053,7,2353
2020,05053,8,4735
2020,05053,9,6931
2020,05053,10,10066
2020,05053,11,14380
2020,05053,12,25385
2020,05055,3,31
