,fip-year,WA,BA,IA,AA,NA,TOM,NH,H
2857,16045-2019,17287,44,207,175,43,418,16597,1577
2858,16045-2020,18296,59,218,197,45,443,17549,1709
2859,16045-2021,18763,65,241,212,48,463,17999,1793
2862,16047-2019,14404,87,325,118,49,307,10784,4506
2863,16047-2020,14707,88,358,129,43,318,10969,4674
2864,16047-2021,14806,92,380,135,42,317,11060,4712
2867,16049-2019,15537,92,510,91,12,381,16036,587
2868,16049-2020,15421,87,515,96,12,430,15946,615
2869,16049-2021,15888,101,503,102,11,435,16388,652
2872,16051-2019,28627,138,425,184,45,499,26729,3189
2873,16051-2020,29728,128,418,180,52,549,27720,3335
2874,16051-2021,30806,141,434,196,55,570,28748,3454
2877,16053-2019,23179,175,587,135,55,355,15345,9141
2878,16053-2020,22922,189,564,136,61,350,15004,9218
2879,16053-2021,23327,198,556,145,63,373,15224,9438
2882,16055-2019,156607,695,2188,1517,256,4393,157415,8241
2883,16055-2020,162977,763,2280,1660,292,4674,163646,9000
2884,16055-2021,169449,822,2367,1805,315,5031,170044,9745
2887,16057-2019,37276,450,351,1000,67,1228,38553,1819
2888,16057-2020,36577,396,385,977,68,1208,37743,1868
2889,16057-2021,37297,365,382,947,66,1256,38387,1926
2892,16059-2019,7729,31,103,32,3,169,7784,283
2893,16059-2020,7612,30,99,29,2,176,7680,268
2894,16059-2021,7806,34,100,31,5,186,7885,277
2897,16061-2019,3375,24,248,60,8,130,3661,184
2898,16061-2020,3064,27,247,57,9,127,3343,188
2899,16061-2021,3227,28,246,61,9,144,3526,189
2902,16063-2019,5019,27,114,35,9,121,3656,1669
2903,16063-2020,4837,26,108,29,14,119,3478,1655
2904,16063-2021,4945,30,128,36,14,129,3565,1717
2907,16065-2019,38216,298,231,608,123,729,37049,3156
2908,16065-2020,50194,424,315,784,147,1012,48549,4327
2909,16065-2021,51095,448,357,772,166,1043,49327,4554
2912,16067-2019,19722,167,480,133,20,388,13503,7407
2913,16067-2020,20426,179,468,142,21,438,13885,7789
2914,16067-2021,20666,178,490,148,22,451,14058,7897
2917,16069-2019,36479,217,2430,370,59,1046,38861,1740
2918,16069-2020,37763,206,2582,365,64,1108,40199,1889
2919,16069-2021,37993,212,2599,373,72,1205,40493,1961
2922,16071-2019,4383,18,22,29,3,45,4306,194
2923,16071-2020,4412,22,26,26,3,65,4361,193
2924,16071-2021,4463,22,26,27,3,70,4404,207
2927,16073-2019,10827,104,531,94,23,244,8774,3049
2928,16073-2020,10986,106,517,86,20,263,8898,3080
2929,16073-2021,11349,106,506,82,24,269,9164,3172
2932,16075-2019,22569,118,464,243,25,632,19836,4215
2933,16075-2020,24048,126,443,250,23,699,21028,4561
2934,16075-2021,24655,155,476,264,29,771,21540,4810
2937,16077-2019,7034,83,292,39,17,171,5039,2597
2938,16077-2020,7229,91,307,42,18,192,5158,2721
2939,16077-2021,7294,96,304,46,16,194,5179,2771
2942,16079-2019,12120,86,218,78,25,341,12398,470
2943,16079-2020,12450,85,219,76,23,336,12691,498
2944,16079-2021,12805,96,237,84,24,366,13054,558
2947,16081-2019,11669,55,111,76,21,164,10119,1977
2948,16081-2020,11272,60,118,89,16,176,9781,1950
2949,16081-2021,11791,65,123,95,15,178,10299,1968
2952,16083-2019,81570,811,1136,1602,249,1759,72358,14769
2953,16083-2020,84394,891,1248,1642,230,1874,74473,15806
2954,16083-2021,86104,927,1295,1667,246,2004,75821,16422
2957,16085-2019,10975,57,129,68,13,201,10908,535
2958,16085-2020,11377,50,131,65,10,205,11258,580
2959,16085-2021,11754,53,139,78,9,208,11619,622
2962,16087-2019,9543,60,173,101,17,232,8437,1689
2963,16087-2020,9937,66,174,105,14,248,8793,1751
2964,16087-2021,10274,74,174,107,15,254,9079,1819
2967,17001-2019,60625,2584,178,619,18,1378,64267,1135
2968,17001-2020,60608,2684,198,598,27,1415,64333,1197
2969,17001-2021,60001,2669,205,598,30,1451,63737,1217
2972,17003-2019,3759,1832,26,17,10,147,5691,100
2973,17003-2020,3372,1588,29,15,11,153,5064,104
2974,17003-2021,3280,1548,27,14,11,150,4917,113
2977,17005-2019,14900,1043,104,132,8,271,15856,602
2978,17005-2020,15069,1059,114,131,11,279,16024,639
2979,17005-2021,14965,1070,125,128,11,297,15942,654
2982,17007-2019,49251,1520,433,766,53,1258,41200,12081
2983,17007-2020,49278,1498,466,763,52,1269,40919,12407
2984,17007-2021,49028,1535,504,784,51,1257,40430,12729
2987,17009-2019,5209,1241,86,22,3,58,6165,454
2988,17009-2020,4874,1185,76,22,3,57,5786,431
2989,17009-2021,4869,1377,79,25,3,68,5955,466
2992,17011-2019,31309,338,147,348,16,463,29552,3069
2993,17011-2020,31759,380,152,369,17,441,29912,3206
2994,17011-2021,31439,398,173,375,19,479,29576,3307
2997,17013-2019,4658,20,11,13,2,36,4674,66
2998,17013-2020,4327,23,14,14,2,31,4346,65
2999,17013-2021,4280,26,14,15,0,34,4293,76
3002,17015-2019,13814,155,67,86,3,213,13782,556
3003,17015-2020,15053,171,76,97,5,262,15031,633
3004,17015-2021,15055,209,74,106,7,247,15030,668
3007,17017-2019,11098,665,92,97,15,174,9784,2357
3008,17017-2020,11827,735,105,100,17,172,10356,2600
3009,17017-2021,11587,739,112,127,27,181,10130,2643
3012,17019-2019,150212,29121,743,22857,211,6468,196551,13061
3013,17019-2020,147097,28915,744,21929,235,6549,192288,13181
3014,17019-2021,146681,29555,794,21886,241,6786,192275,13668
3017,17021-2019,31185,514,92,233,14,389,31887,540
3018,17021-2020,32617,550,91,255,16,371,33326,574
3019,17021-2021,32323,582,94,246,16,401,33089,573
3022,17023-2019,15157,70,34,58,5,141,15226,239
3023,17023-2020,15086,73,35,57,6,150,15145,262
3024,17023-2021,14953,78,36,55,6,172,15025,275
3027,17025-2019,12822,74,36,112,0,133,12966,211
3028,17025-2020,12885,74,33,120,2,153,13029,238
3029,17025-2021,12748,78,37,122,2,156,12910,233
3032,17027-2019,35177,1372,139,217,24,511,36234,1206
3033,17027-2020,34633,1361,136,223,24,519,35688,1208
3034,17027-2021,34486,1396,136,222,24,529,35555,1238
3037,17029-2019,47121,2039,145,526,64,879,49355,1419
3038,17029-2020,43249,1893,159,471,61,904,45341,1396
3039,17029-2021,43144,1964,159,480,62,956,45310,1455
3042,17031-2019,3354894,1230039,38422,411985,3741,106245,3836051,1309275
3043,17031-2020,3436723,1248662,39775,422684,3709,111188,3908232,1354509
3044,17031-2021,3373515,1226143,39482,418482,3690,111834,3826562,1346584
3047,17033-2019,17306,967,69,123,9,212,18252,434
3048,17033-2020,17242,978,70,121,9,219,18186,453
3049,17033-2021,17182,1034,72,128,10,233,18172,487
3052,17035-2019,10459,52,22,68,8,124,10606,127
3053,17035-2020,10132,56,27,70,9,134,10302,126
3054,17035-2021,10040,65,24,70,9,137,10203,142
3057,17037-2019,90619,8794,486,2919,92,2221,92854,12277
3058,17037-2020,86012,8624,515,2743,103,2236,88172,12061
3059,17037-2021,85660,9067,540,2706,98,2343,87796,12618
3062,17039-2019,15152,157,42,71,8,194,15178,446
3063,17039-2020,14949,168,49,74,8,193,14987,454
3064,17039-2021,14797,188,54,72,8,222,14868,473
3067,17041-2019,18838,133,78,135,0,266,18024,1426
3068,17041-2020,19058,158,94,139,0,293,18267,1475
3069,17041-2021,19024,169,89,142,3,295,18226,1496
3072,17043-2019,731448,48727,3771,118905,497,19413,789234,133527
3073,17043-2020,736234,49692,3908,120878,510,19931,793911,137242
3074,17043-2021,728546,50034,3891,121709,516,20189,786209,138676
3077,17045-2019,16793,95,41,68,5,167,16943,226
3078,17045-2020,16370,111,43,64,5,162,16538,217
3079,17045-2021,16106,124,48,63,5,174,16303,217
3082,17047-2019,6234,33,35,24,0,79,6316,89
3083,17047-2020,6018,35,37,31,0,84,6126,79
3084,17047-2021,5892,34,37,31,0,81,5997,78
3087,17049-2019,33217,213,83,282,9,305,33349,760
3088,17049-2020,33711,209,90,286,9,309,33875,739
3089,17049-2021,33485,227,93,286,14,325,33642,788
3092,17051-2019,19964,966,68,84,5,245,20941,391
3093,17051-2020,20077,979,68,82,5,249,21037,423
3094,17051-2021,19979,1005,72,84,6,238,20957,427
3097,17053-2019,12506,144,47,68,9,198,12493,479
3098,17053-2020,13010,165,45,69,8,236,12986,547
3099,17053-2021,12936,181,49,76,8,261,12923,588
3102,17055-2019,37469,237,151,151,6,516,37855,675
3103,17055-2020,36525,255,163,152,7,534,36909,727
3104,17055-2021,36272,295,162,147,8,558,36672,770
3107,17057-2019,32132,1396,247,104,7,354,33167,1073
3108,17057-2020,31300,1417,247,106,9,361,32381,1059
3109,17057-2021,30933,1520,251,104,9,380,32125,1072
3112,17059-2019,4680,34,22,12,0,85,4756,77
3113,17059-2020,4786,37,23,13,0,88,4871,76
3114,17059-2021,4730,40,20,14,0,99,4821,82
3117,17061-2019,12591,168,36,33,2,92,12762,160
3118,17061-2020,11575,182,39,31,2,86,11758,157
3119,17061-2021,11484,190,39,32,2,96,11687,156
3122,17063-2019,48748,920,179,456,47,681,45672,5359
3123,17063-2020,50060,1031,169,490,51,713,46881,5633
3124,17063-2021,50323,1158,179,515,55,759,47065,5924
3127,17065-2019,7907,54,34,52,1,85,7981,152
3128,17065-2020,7721,60,43,57,1,95,7824,153
3129,17065-2021,7655,59,42,56,1,98,7746,165
3132,17067-2019,17257,113,59,63,16,192,17412,288
3133,17067-2020,17063,140,63,57,15,214,17248,304
3134,17067-2021,16912,145,61,51,14,217,17079,321
3137,17069-2019,3725,17,28,19,5,54,3758,90
3138,17069-2020,3502,19,30,19,5,59,3554,80
3139,17069-2021,3512,28,30,18,5,57,3571,79
3142,17071-2019,6520,40,22,33,5,89,6589,120
3143,17071-2020,6156,32,21,35,5,90,6227,112
3144,17071-2021,6106,39,23,35,5,104,6195,117
3147,17073-2019,46748,984,158,236,15,792,46018,2915
3148,17073-2020,46874,1013,159,238,18,836,46103,3035
3149,17073-2021,46630,1014,170,248,18,827,45781,3126
3152,17075-2019,26114,334,106,148,9,382,25117,1976
3153,17075-2020,26009,313,105,153,9,395,24964,2020
3154,17075-2021,25812,361,103,155,9,387,24756,2071
3157,17077-2019,44204,8678,318,2000,53,1591,54250,2594
3158,17077-2020,40999,8168,345,1775,56,1553,50453,2443
3159,17077-2021,40676,8175,356,1740,59,1559,50051,2514
3162,17079-2019,9461,30,22,31,2,72,9482,136
3163,17079-2020,9085,33,25,31,2,71,9112,135
3164,17079-2021,9028,31,24,34,2,74,9063,130
3167,17081-2019,32861,3339,150,443,14,828,36531,1104
3168,17081-2020,32315,3256,152,448,14,844,35910,1119
3169,17081-2021,32119,3289,157,462,14,836,35723,1154
3172,17083-2019,20950,177,80,168,7,285,21347,320
3173,17083-2020,20723,185,75,163,7,291,21123,321
3174,17083-2021,20582,194,81,171,9,296,21014,319
3177,17085-2019,20651,159,67,101,14,232,20560,664
3178,17085-2020,21431,163,76,95,14,256,21326,709
3179,17085-2021,21297,182,72,102,13,273,21199,740
3182,17087-2019,11270,882,51,35,4,138,12000,380
3183,17087-2020,12119,944,52,38,4,150,12906,401
3184,17087-2021,12069,1139,53,40,4,158,13017,446
3187,17089-2019,460034,32228,5511,23428,415,10677,361017,171276
3188,17089-2020,445819,30948,5449,22822,461,10656,348309,167846
3189,17089-2021,444400,30985,5537,23455,477,10734,346879,168709
3192,17091-2019,89030,16532,485,1159,49,2314,97696,11873
3193,17091-2020,87021,16229,483,1138,52,2313,95222,12014
3194,17091-2021,86340,16202,507,1165,56,2331,94222,12379
3197,17093-2019,110661,10170,717,4428,96,2828,103039,25861
3198,17093-2020,112752,10935,834,4695,110,2965,104653,27638
3199,17093-2021,114074,11751,878,4956,108,3100,105536,29331
3202,17095-2019,43335,4235,206,486,18,1389,46632,3037
3203,17095-2020,43330,4284,223,458,22,1419,46648,3088
3204,17095-2021,42763,4350,218,454,24,1459,46097,3171
3207,17097-2019,562373,52491,6119,59787,669,15695,541680,155454
3208,17097-2020,573805,53764,6464,62258,727,16199,551175,162042
3209,17097-2021,570224,54067,6554,63347,735,16312,546849,164390
3212,17099-2019,102362,3118,404,1078,39,1516,97518,10999
3213,17099-2020,103107,3124,410,1100,43,1575,98016,11343
3214,17099-2021,102456,3328,412,1093,45,1631,97464,11501
3217,17101-2019,13733,1608,68,73,6,177,15051,614
3218,17101-2020,13317,1584,72,77,6,178,14619,615
3219,17101-2021,13082,1731,80,83,6,170,14515,637
3222,17103-2019,31222,1895,149,271,17,507,31824,2237
3223,17103-2020,31110,1939,151,270,18,533,31689,2332
3224,17103-2021,30836,2186,158,286,18,565,31611,2438
3227,17105-2019,33090,1492,115,256,5,599,33816,1741
3228,17105-2020,33245,1533,124,250,8,592,33939,1813
3229,17105-2021,33028,1646,142,261,11,576,33801,1863
3232,17107-2019,25408,2400,107,214,6,498,27633,1000
3233,17107-2020,24669,2402,104,207,6,491,26891,988
3234,17107-2021,24654,2517,112,201,6,502,26941,1051
3237,17109-2019,26776,1676,116,714,6,504,28899,893
3238,17109-2020,24284,1532,125,628,6,504,26257,822
3239,17109-2021,23990,1550,139,625,6,518,25984,844
3242,17111-2019,285753,5430,1626,9320,159,5151,264910,42529
3243,17111-2020,287744,5542,1652,9357,172,5303,265849,43921
3244,17111-2021,288149,5818,1741,9647,184,5583,265314,45808
3247,17113-2019,143125,14436,600,8734,95,4282,162408,8864
3248,17113-2020,142769,14608,601,8433,94,4365,161925,8945
3249,17113-2021,142116,15063,603,8545,98,4464,161714,9175
3252,17115-2019,80544,18581,289,1211,49,3338,101509,2503
3253,17115-2020,79909,18765,295,1200,54,3424,101048,2599
3254,17115-2021,78662,18747,297,1204,55,3467,99774,2658
3257,17117-2019,43737,448,163,175,15,541,44508,571
3258,17117-2020,43423,479,175,179,14,540,44244,566
3259,17117-2021,42990,495,172,182,14,553,43840,566
3262,17119-2019,230712,23425,899,2724,171,5678,254486,9123
3263,17119-2020,232018,23734,926,2802,179,5839,256064,9434
3264,17119-2021,230320,24193,940,2844,167,6026,254747,9743
3267,17121-2019,34565,1604,137,248,10,745,36487,822
3268,17121-2020,34889,1613,146,225,10,730,36774,839
3269,17121-2021,34526,1700,145,230,10,779,36519,871
3272,17123-2019,11109,84,47,60,3,160,11118,345
3273,17123-2020,11310,98,47,57,3,176,11337,354
3274,17123-2021,11259,95,55,59,3,192,11281,382
3277,17125-2019,13036,84,51,64,1,151,13224,163
3278,17125-2020,12642,89,59,76,1,159,12859,167
3279,17125-2021,12472,104,62,78,1,164,12680,201
3282,17127-2019,12415,872,79,73,2,331,13333,439
3283,17127-2020,12686,920,85,73,2,359,13657,468
3284,17127-2021,12553,906,86,68,2,345,13486,474
3287,17129-2019,11811,109,42,51,3,182,12001,197
3288,17129-2020,11850,120,43,52,5,195,12072,193
3289,17129-2021,11742,120,44,52,5,201,11969,195
3292,17131-2019,15074,106,40,78,6,186,15086,404
3293,17131-2020,15222,103,42,76,3,187,15204,429
3294,17131-2021,15138,113,41,85,3,202,15104,478
3297,17133-2019,33941,150,85,197,11,354,34154,584
3298,17133-2020,34046,164,81,219,12,376,34319,579
3299,17133-2021,34049,182,80,219,14,388,34330,602
3302,17135-2019,26915,1004,73,131,12,266,27878,523
3303,17135-2020,26660,1009,79,132,12,265,27640,517
3304,17135-2021,26414,1139,79,146,12,294,27545,539
3307,17137-2019,30302,2309,150,263,19,636,32770,909
3308,17137-2020,29466,2256,140,273,20,643,31880,918
3309,17137-2021,29176,2353,142,273,28,634,31650,956
3312,17139-2019,14118,104,41,43,5,153,14225,239
3313,17139-2020,14144,99,44,42,5,152,14232,254
3314,17139-2021,14131,121,45,45,7,161,14250,260
3317,17141-2019,48655,642,202,327,36,798,45343,5317
3318,17141-2020,49665,659,204,327,42,781,46037,5641
3319,17141-2021,49361,667,219,341,42,819,45722,5727
3322,17143-2019,131432,34053,819,7468,121,5466,170250,9109
3323,17143-2020,132654,34271,816,7658,133,5693,171743,9482
3324,17143-2021,130972,34043,827,7611,147,5832,169728,9704
3327,17145-2019,18448,1885,93,110,13,386,20267,668
3328,17145-2020,18381,1874,94,119,15,397,20191,689
3329,17145-2021,18292,2057,95,127,15,399,20256,729
3332,17147-2019,15953,110,29,82,10,207,16142,249
3333,17147-2020,16188,130,28,81,7,220,16401,253
3334,17147-2021,16257,140,28,90,9,229,16482,271
3337,17149-2019,15130,227,32,52,6,127,15353,221
3338,17149-2020,14183,234,32,45,7,132,14418,215
3339,17149-2021,14139,243,38,48,11,139,14377,241
3342,17151-2019,3846,224,31,16,5,54,4104,72
3343,17151-2020,3435,204,30,15,4,56,3672,72
3344,17151-2021,3448,215,30,18,4,64,3704,75
3347,17153-2019,3459,1617,37,22,3,171,5173,136
3348,17153-2020,3387,1538,39,23,3,171,5024,137
3349,17153-2021,3330,1493,43,27,4,168,4923,142
3352,17155-2019,5580,44,17,34,2,68,5388,357
3353,17155-2020,5471,43,17,34,6,64,5290,345
3354,17155-2021,5400,40,26,32,6,62,5207,359
3357,17157-2019,27657,3383,111,159,21,394,30670,1055
3358,17157-2020,26108,3230,120,166,22,409,29014,1041
3359,17157-2021,25977,3430,127,171,23,414,29024,1118
3362,17159-2019,14977,141,52,143,5,201,15231,288
3363,17159-2020,15262,149,42,140,5,205,15516,287
3364,17159-2021,15239,157,44,136,5,215,15488,308
3367,17161-2019,116772,15920,919,3764,66,4334,122975,18800
3368,17161-2020,118300,16575,924,3834,61,4573,124866,19401
3369,17161-2021,116509,16915,927,3822,69,4667,123340,19569
3372,17163-2019,168176,79581,987,4010,250,6885,248619,11270
3373,17163-2020,166039,78541,998,3937,237,7037,245276,11513
3374,17163-2021,164409,77977,1009,3987,246,7168,243121,11675
3377,17165-2019,21871,901,113,148,24,483,23136,404
3378,17165-2020,21977,897,115,146,24,475,23220,414
3379,17165-2021,21644,905,116,147,25,483,22906,414
3382,17167-2019,159580,25435,519,4265,74,5009,190167,4715
3383,17167-2020,160064,25858,518,4288,67,5217,191094,4918
3384,17167-2021,158217,26261,527,4356,69,5304,189653,5081
3387,17169-2019,6441,299,14,26,0,49,6673,156
3388,17169-2020,6478,307,13,24,0,53,6719,156
3389,17169-2021,6419,334,15,25,0,50,6678,165
3392,17171-2019,4843,31,10,12,27,51,4912,62
3393,17171-2020,4770,43,14,13,33,54,4859,68
3394,17171-2021,4675,37,16,13,36,59,4767,69
3397,17173-2019,21202,83,57,75,10,198,21375,250
3398,17173-2020,20453,100,55,74,9,209,20638,262
3399,17173-2021,20321,105,58,73,9,223,20525,264
3402,17175-2019,5121,52,13,35,5,86,5199,113
3403,17175-2020,5195,49,17,39,5,86,5269,122
3404,17175-2021,5096,53,18,37,5,85,5160,134
3407,17177-2019,37713,4665,140,332,21,1500,42451,1920
3408,17177-2020,37780,4668,137,339,19,1514,42445,2012
3409,17177-2021,37384,4576,139,349,19,1554,41903,2118
3412,17179-2019,126326,1867,440,1244,44,1927,128572,3276
3413,17179-2020,125433,1877,441,1230,49,1988,127693,3325
3414,17179-2021,124567,2053,453,1259,51,2030,127007,3406
3417,17181-2019,15981,217,127,89,7,272,15809,884
3418,17181-2020,16442,223,129,86,7,292,16241,938
3419,17181-2021,16192,232,120,82,7,290,15999,924
3422,17183-2019,62187,10668,296,655,45,1885,71728,4008
3423,17183-2020,60632,10347,290,655,41,1918,69907,3976
3424,17183-2021,59825,10383,287,616,45,1939,68972,4123
3427,17185-2019,10900,113,29,141,6,181,11105,265
3428,17185-2020,10871,101,27,139,7,171,11057,259
3429,17185-2021,10770,91,29,139,7,166,10926,276
3432,17187-2019,15495,483,81,399,36,322,15153,1663
3433,17187-2020,15438,489,89,408,37,316,15055,1722
3434,17187-2021,15203,509,89,391,37,302,14800,1731
3437,17189-2019,13551,139,27,70,3,136,13723,203
3438,17189-2020,13340,148,35,70,3,115,13516,195
3439,17189-2021,13253,150,36,82,3,131,13438,217
3442,17191-2019,15777,99,55,100,2,163,15930,266
3443,17191-2020,15710,112,50,95,2,152,15865,256
3444,17191-2021,15544,106,50,94,2,167,15679,284
3447,17193-2019,13202,101,52,68,7,144,13368,206
3448,17193-2020,13433,102,49,68,7,149,13585,223
3449,17193-2021,13383,117,48,74,7,155,13559,225
3452,17195-2019,52577,1051,271,333,14,969,48334,6881
3453,17195-2020,52908,1026,267,331,11,966,48515,6994
3454,17195-2021,52642,1040,286,352,11,974,48185,7120
3457,17197-2019,545518,84872,3305,42174,355,13952,565182,124994
3458,17197-2020,548773,85840,3403,43192,378,14317,566941,128962
3459,17197-2021,546692,87386,3575,44615,385,14599,565385,131867
3462,17199-2019,61028,3134,308,873,16,1274,64789,1844
3463,17199-2020,61384,3215,299,883,19,1294,65168,1926
3464,17199-2021,61089,3281,299,863,18,1329,64919,1960
3467,17201-2019,224245,39920,1634,7984,160,8522,244445,38020
3468,17201-2020,225431,40652,1680,8035,170,8890,245264,39594
3469,17201-2021,223460,40503,1728,8154,177,9097,242327,40792
3472,17203-2019,37207,291,101,287,15,452,37618,735
3473,17203-2020,37240,282,100,291,14,468,37665,730
3474,17203-2021,36986,292,103,310,15,519,37477,748
3477,18001-2019,34905,204,124,138,15,302,34053,1635
3478,18001-2020,34981,240,132,141,18,314,34194,1632
3479,18001-2021,35065,254,133,146,12,351,34293,1668
3482,18003-2019,301301,45718,1760,17454,402,12371,349547,29459
3483,18003-2020,305500,46331,1790,18779,442,13050,355145,30747
3484,18003-2021,306389,46473,1796,20092,479,13379,357093,31515
3487,18005-2019,73000,2025,383,7152,77,1426,77704,6359
3488,18005-2020,71295,2065,420,6881,77,1419,75709,6448
3489,18005-2021,71707,2049,423,6693,77,1526,75842,6633
3492,18007-2019,8495,96,27,20,5,120,8268,495
3493,18007-2020,8439,90,28,18,5,132,8194,518
3494,18007-2021,8404,96,29,20,5,160,8192,522
3497,18009-2019,11411,92,30,68,4,182,11581,206
3498,18009-2020,11688,113,32,65,4,196,11858,240
3499,18009-2021,11662,114,40,68,4,203,11856,235
3502,18011-2019,62794,1432,183,2338,24,1144,65723,2192
3503,18011-2020,65477,1668,194,2566,28,1236,68761,2408
3504,18011-2021,66758,1957,209,2800,32,1296,70408,2644
3507,18013-2019,14567,113,95,69,3,219,14784,282
3508,18013-2020,14931,127,100,65,4,243,15157,313
3509,18013-2021,15034,125,80,60,4,249,15250,302
3512,18015-2019,19675,192,80,36,7,221,19315,896
3513,18015-2020,19699,220,85,49,8,246,19340,967
3514,18015-2021,19813,217,93,57,8,256,19453,991
3517,18017-2019,34810,884,465,827,76,548,31493,6117
3518,18017-2020,34905,938,478,806,84,560,31449,6322
3519,18017-2021,34541,1017,523,786,89,607,31036,6527
3522,18019-2019,103175,9890,505,1384,107,3130,111454,6737
3523,18019-2020,105621,10196,551,1470,121,3323,114173,7109
3524,18019-2021,106566,10381,579,1567,138,3507,115408,7330
3527,18021-2019,25555,199,79,104,14,350,25903,398
3528,18021-2020,25651,209,87,100,15,370,25981,451
3529,18021-2021,25589,208,99,103,11,400,25909,501
3532,18023-2019,31409,249,170,143,12,315,27013,5285
3533,18023-2020,32178,283,179,157,13,341,27597,5554
3534,18023-2021,32003,319,192,170,17,364,27404,5661
3537,18025-2019,10289,73,55,23,10,143,10425,168
3538,18025-2020,10195,87,54,28,11,165,10359,181
3539,18025-2021,10166,87,52,29,12,168,10329,185
3542,18027-2019,31877,772,219,163,40,368,31589,1850
3543,18027-2020,31792,778,231,164,42,384,31531,1860
3544,18027-2021,31742,768,241,166,40,440,31478,1919
3547,18029-2019,48216,356,115,226,34,626,48875,698
3548,18029-2020,49304,370,125,241,36,650,49991,735
3549,18029-2021,49362,387,132,248,36,651,50056,760
3552,18031-2019,25584,154,75,384,13,262,25919,553
3553,18031-2020,25566,186,75,354,14,282,25906,571
3554,18031-2021,25364,211,81,352,16,296,25702,618
3557,18033-2019,42436,242,141,215,29,498,42308,1253
3558,18033-2020,42029,289,158,227,29,542,41950,1324
3559,18033-2021,42014,308,155,235,29,592,41988,1345
3562,18035-2019,100826,8331,325,1515,66,2706,110821,2948
3563,18035-2020,98827,8129,334,1531,71,2777,108719,2950
3564,18035-2021,98861,8158,346,1534,76,2896,108782,3089
3567,18037-2019,41351,387,135,297,73,335,39015,3563
3568,18037-2020,42275,449,148,309,74,349,39793,3811
3569,18037-2021,42146,482,153,315,75,378,39621,3928
3572,18039-2019,184419,12733,1329,2547,180,5060,171812,34456
3573,18039-2020,184654,12743,1370,2618,192,5265,171350,35492
3574,18039-2021,184478,12734,1426,2645,191,5447,170599,36322
3577,18041-2019,22235,356,87,84,4,272,22713,325
3578,18041-2020,22529,359,92,87,2,264,22977,356
3579,18041-2021,22532,348,95,90,2,293,23011,349
3582,18043-2019,71062,4345,299,992,41,1862,75810,2791
3583,18043-2020,72566,4517,310,1029,43,1972,77444,2993
3584,18043-2021,72411,4640,322,1054,46,1981,77286,3168
3587,18045-2019,15981,88,60,79,13,204,15987,438
3588,18045-2020,16009,105,63,75,14,204,16012,458
3589,18045-2021,15934,117,66,80,14,216,15949,478
3592,18047-2019,22272,72,60,155,3,201,22477,286
3593,18047-2020,22254,83,58,167,3,202,22482,285
3594,18047-2021,22309,91,59,177,4,202,22542,300
3597,18049-2019,19254,173,178,144,5,288,18962,1080
3598,18049-2020,19625,192,189,137,6,285,19297,1137
3599,18049-2021,19531,201,194,139,6,315,19245,1141
3602,18051-2019,31810,912,115,185,10,677,33110,599
3603,18051-2020,31045,918,117,193,23,725,32379,642
3604,18051-2021,30904,902,127,217,23,751,32240,684
3607,18053-2019,58121,5002,298,624,29,1762,62859,2977
3608,18053-2020,58680,5053,305,587,29,1792,63330,3116
3609,18053-2021,58393,5085,304,596,29,1856,63034,3229
3612,18055-2019,31416,86,128,132,8,347,31542,575
3613,18055-2020,30064,98,135,128,8,357,30198,592
3614,18055-2021,30061,106,130,123,7,359,30164,622
3617,18057-2019,292250,15300,747,22227,145,7286,323469,14486
3618,18057-2020,300176,16109,780,23837,163,7803,333421,15447
3619,18057-2021,305054,17402,800,24911,195,8288,340382,16268
3622,18059-2019,73324,2494,250,730,34,1327,76092,2067
3623,18059-2020,74901,2760,269,766,35,1425,77888,2268
3624,18059-2021,76086,3049,289,833,38,1494,79251,2538
3627,18061-2019,39373,293,131,197,23,535,39715,837
3628,18061-2020,38423,314,134,206,20,555,38795,857
3629,18061-2021,38476,316,130,217,26,596,38897,864
3632,18063-2019,147101,13237,527,5322,116,3621,162610,7314
3633,18063-2020,150610,14695,550,5695,116,3862,167630,7898
3634,18063-2021,151412,17126,597,6052,130,4038,170836,8519
3637,18065-2019,45696,1292,111,216,17,693,47071,954
3638,18065-2020,46480,1327,106,232,17,723,47841,1044
3639,18065-2021,46419,1390,105,229,16,776,47883,1052
3642,18067-2019,72079,6689,357,1164,37,2334,79724,2936
3643,18067-2020,72809,6810,374,1151,47,2428,80493,3126
3644,18067-2021,72705,6907,384,1126,49,2516,80461,3226
3647,18069-2019,35368,266,207,257,18,428,35587,957
3648,18069-2020,35394,269,208,234,27,467,35592,1007
3649,18069-2021,35444,295,214,245,27,492,35662,1055
3652,18071-2019,41490,609,255,1113,75,637,40781,3398
3653,18071-2020,43437,684,287,1245,78,642,42598,3775
3654,18071-2021,43082,710,320,1236,82,637,42177,3890
3657,18073-2019,32484,302,120,164,16,430,31428,2088
3658,18073-2020,31841,311,122,176,15,441,30831,2075
3659,18073-2021,32002,329,130,172,14,444,30892,2199
3662,18075-2019,19955,105,49,81,7,249,19769,677
3663,18075-2020,19929,131,52,88,7,249,19753,703
3664,18075-2021,19687,155,55,84,7,260,19562,686
3667,18077-2019,30636,685,126,271,47,500,31303,962
3668,18077-2020,31421,702,133,277,47,495,32048,1027
3669,18077-2021,31446,716,141,291,49,498,32098,1043
3672,18079-2019,26845,245,81,97,19,375,26897,765
