,fip-year,WA,BA,IA,AA,NA,TOM,NH,H
227,1091-2019,8827,9762,47,60,35,188,18390,529
228,1091-2020,8960,9966,45,65,34,194,18714,550
229,1091-2021,8826,9811,50,71,34,204,18435,561
232,1093-2019,28009,1193,123,93,22,386,29070,756
233,1093-2020,27465,1166,141,94,22,399,28527,760
234,1093-2021,27307,1277,143,99,23,397,28462,784
237,1095-2019,89842,2992,1035,737,319,1826,82761,13990
238,1095-2020,90486,3035,1091,774,346,1876,82867,14741
239,1095-2021,90961,3081,1164,762,379,1881,82903,15325
242,1097-2019,243630,150235,3807,8680,172,6992,401384,12132
243,1097-2020,243422,150911,3891,8707,178,7141,401727,12523
244,1097-2021,241735,151087,3908,8760,175,7408,400273,12800
247,1099-2019,11464,8496,257,95,8,369,20336,353
248,1099-2020,10856,8130,264,90,8,375,19396,327
249,1099-2021,10809,8112,268,92,8,359,19318,330
252,1101-2019,80116,134204,727,7554,205,3268,217889,8185
253,1101-2020,79399,136991,709,7705,210,3434,219875,8573
254,1101-2021,77499,137728,715,7769,193,3530,218639,8795
257,1103-2019,99077,15606,1295,824,193,2635,109352,10278
258,1103-2020,101958,16203,1353,833,184,2805,112471,10865
259,1103-2021,101855,16435,1375,855,186,2962,112577,11091
262,1105-2019,2720,6056,31,53,6,74,8797,143
263,1105-2020,2584,5695,33,52,6,82,8309,143
264,1105-2021,2522,5667,32,51,7,76,8222,133
267,1107-2019,11560,7975,52,66,68,219,18904,1036
268,1107-2020,11018,7642,55,69,66,212,18038,1024
269,1107-2021,10853,7534,55,70,68,221,17761,1040
272,1109-2019,18987,12522,225,653,27,620,32238,796
273,1109-2020,18917,12587,230,608,28,611,32186,795
274,1109-2021,18856,12661,233,574,27,640,32185,806
277,1111-2019,17785,4363,111,109,26,387,22102,679
278,1111-2020,17193,4162,111,102,22,381,21319,652
279,1111-2021,17209,4144,116,114,23,383,21341,648
282,1113-2019,28939,26490,414,507,157,1591,54703,3395
283,1113-2020,29369,27173,390,517,155,1622,55736,3490
284,1113-2021,28816,27229,388,473,169,1647,55250,3472
287,1115-2019,78499,8602,350,843,70,1371,87552,2183
