,PCIncome,fip-year
7028,22120.0,16071-2019
7029,22806.0,16073-2019
7030,25768.0,16075-2019
7031,23343.0,16077-2019
7032,23987.0,16079-2019
7033,31191.0,16081-2019
7034,25352.0,16083-2019
7035,33709.0,16085-2019
7036,22650.0,16087-2019
7037,30343.0,17001-2019
7038,19519.0,17003-2019
7039,28119.0,17005-2019
7040,31943.0,17007-2019
7041,23070.0,17009-2019
7042,30255.0,17011-2019
7043,28822.0,17013-2019
7044,29166.0,17015-2019
7045,26992.0,17017-2019
7046,30578.0,17019-2019
7047,27361.0,17021-2019
7048,30796.0,17023-2019
7049,26815.0,17025-2019
7050,31783.0,17027-2019
7051,28084.0,17029-2019
7052,37552.0,17031-2019
7053,26546.0,17033-2019
7054,27812.0,17035-2019
7055,29430.0,17037-2019
7056,30729.0,17039-2019
7057,28139.0,17041-2019
7058,46272.0,17043-2019
7059,27797.0,17045-2019
7060,28255.0,17047-2019
7061,31665.0,17049-2019
7062,23194.0,17051-2019
7063,28957.0,17053-2019
7064,24098.0,17055-2019
7065,27741.0,17057-2019
7066,33377.0,17059-2019
7067,25414.0,17061-2019
7068,35208.0,17063-2019
7069,27702.0,17065-2019
7070,28576.0,17067-2019
7071,28932.0,17069-2019
7072,28950.0,17071-2019
7073,30345.0,17073-2019
7074,27574.0,17075-2019
7075,24804.0,17077-2019
7076,25849.0,17079-2019
7077,26466.0,17081-2019
7078,30182.0,17083-2019
7079,34437.0,17085-2019
7080,23140.0,17087-2019
7081,36270.0,17089-2019
7082,27984.0,17091-2019
7083,36382.0,17093-2019
7084,24545.0,17095-2019
7085,45766.0,17097-2019
7086,30277.0,17099-2019
7087,23613.0,17101-2019
7088,29984.0,17103-2019
7089,27925.0,17105-2019
7090,27546.0,17107-2019
7091,24094.0,17109-2019
7092,39006.0,17111-2019
7093,34532.0,17113-2019
7094,29644.0,17115-2019
7095,28809.0,17117-2019
7096,32427.0,17119-2019
7097,25563.0,17121-2019
7098,30808.0,17123-2019
7099,28534.0,17125-2019
7100,23539.0,17127-2019
7101,37098.0,17129-2019
7102,29268.0,17131-2019
7103,42152.0,17133-2019
7104,26609.0,17135-2019
7105,26755.0,17137-2019
7106,29538.0,17139-2019
7107,31397.0,17141-2019
7108,32041.0,17143-2019
7109,26035.0,17145-2019
7110,33468.0,17147-2019
7111,26157.0,17149-2019
7112,22065.0,17151-2019
7113,21605.0,17153-2019
7114,34438.0,17155-2019
7115,26558.0,17157-2019
7116,26358.0,17159-2019
7117,29756.0,17161-2019
7118,30807.0,17163-2019
7119,25342.0,17165-2019
7120,35509.0,17167-2019
7121,24831.0,17169-2019
7122,27052.0,17171-2019
7123,27029.0,17173-2019
7124,30018.0,17175-2019
7125,27911.0,17177-2019
7126,33507.0,17179-2019
7127,25879.0,17181-2019
7128,25307.0,17183-2019
7129,27781.0,17185-2019
7130,25730.0,17187-2019
7131,32838.0,17189-2019
7132,26313.0,17191-2019
7133,26746.0,17193-2019
7134,29856.0,17195-2019
7135,36524.0,17197-2019
7136,28375.0,17199-2019
7137,29278.0,17201-2019
7138,37170.0,17203-2019
7139,23316.0,18001-2019
7140,29160.0,18003-2019
7141,31774.0,18005-2019
7142,25187.0,18007-2019
7143,24302.0,18009-2019
7144,48295.0,18011-2019
7145,34372.0,18013-2019
7146,29366.0,18015-2019
7147,24948.0,18017-2019
7148,29062.0,18019-2019
7149,26257.0,18021-2019
7150,24489.0,18023-2019
7151,22443.0,18025-2019
7152,23848.0,18027-2019
7153,30800.0,18029-2019
7154,27006.0,18031-2019
7155,29073.0,18033-2019
7156,25107.0,18035-2019
7157,30366.0,18037-2019
7158,26150.0,18039-2019
7159,24015.0,18041-2019
7160,33478.0,18043-2019
7161,28058.0,18045-2019
7162,29166.0,18047-2019
7163,26427.0,18049-2019
7164,28076.0,18051-2019
7165,23046.0,18053-2019
7166,25453.0,18055-2019
7167,49287.0,18057-2019
7168,34119.0,18059-2019
7169,28119.0,18061-2019
7170,36569.0,18063-2019
7171,24687.0,18065-2019
7172,28129.0,18067-2019
7173,26502.0,18069-2019
7174,25840.0,18071-2019
7175,28240.0,18073-2019
7176,23443.0,18075-2019
7177,27152.0,18077-2019
7178,26017.0,18079-2019
7179,34408.0,18081-2019
7180,26041.0,18083-2019
7181,29786.0,18085-2019
7182,24549.0,18087-2019
7183,28923.0,18089-2019
7184,27264.0,18091-2019
7185,26603.0,18093-2019
7186,25557.0,18095-2019
7187,28566.0,18097-2019
7188,25761.0,18099-2019
7189,26758.0,18101-2019
7190,24028.0,18103-2019
7191,28514.0,18105-2019
7192,27162.0,18107-2019
7193,30721.0,18109-2019
7194,26007.0,18111-2019
7195,26832.0,18113-2019
7196,30517.0,18115-2019
7197,24080.0,18117-2019
7198,25209.0,18119-2019
7199,23574.0,18121-2019
7200,25707.0,18123-2019
7201,25624.0,18125-2019
7202,34595.0,18127-2019
7203,32091.0,18129-2019
7204,24992.0,18131-2019
7205,26120.0,18133-2019
7206,24964.0,18135-2019
7207,28312.0,18137-2019
7208,26301.0,18139-2019
7209,28215.0,18141-2019
7210,23646.0,18143-2019
7211,29583.0,18145-2019
7212,31287.0,18147-2019
7213,24673.0,18149-2019
7214,29949.0,18151-2019
7215,24356.0,18153-2019
7216,24944.0,18155-2019
7217,27451.0,18157-2019
7218,31025.0,18159-2019
7219,25661.0,18161-2019
7220,29638.0,18163-2019
7221,26493.0,18165-2019
7222,25113.0,18167-2019
7223,27149.0,18169-2019
7224,31104.0,18171-2019
7225,37466.0,18173-2019
7226,25015.0,18175-2019
7227,26510.0,18177-2019
7228,28663.0,18179-2019
7229,27461.0,18181-2019
7230,31843.0,18183-2019
7231,30822.0,19001-2019
7232,28440.0,19003-2019
7233,27892.0,19005-2019
7234,26012.0,19007-2019
7235,30344.0,19009-2019
7236,33301.0,19011-2019
7237,30563.0,19013-2019
7238,32889.0,19015-2019
7239,32814.0,19017-2019
7240,33373.0,19019-2019
7241,26526.0,19021-2019
7242,30036.0,19023-2019
7243,28434.0,19025-2019
7244,31648.0,19027-2019
7245,28302.0,19029-2019
7246,32268.0,19031-2019
7247,32757.0,19033-2019
7248,32999.0,19035-2019
7249,31095.0,19037-2019
7250,27416.0,19039-2019
7251,28747.0,19041-2019
7252,28294.0,19043-2019
7253,28483.0,19045-2019
7254,29196.0,19047-2019
7255,45090.0,19049-2019
7256,29387.0,19051-2019
7257,22875.0,19053-2019
7258,32112.0,19055-2019
7259,29941.0,19057-2019
7260,39052.0,19059-2019
7261,32905.0,19061-2019
7262,28651.0,19063-2019
7263,28643.0,19065-2019
7264,29622.0,19067-2019
7265,29546.0,19069-2019
7266,29261.0,19071-2019
7267,28451.0,19073-2019
7268,36231.0,19075-2019
7269,31128.0,19077-2019
7270,30127.0,19079-2019
7271,30309.0,19081-2019
7272,28770.0,19083-2019
7273,32443.0,19085-2019
7274,26408.0,19087-2019
7275,29032.0,19089-2019
7276,30480.0,19091-2019
7277,33789.0,19093-2019
7278,33755.0,19095-2019
7279,29660.0,19097-2019
7280,28604.0,19099-2019
7281,28611.0,19101-2019
7282,35108.0,19103-2019
7283,29453.0,19105-2019
7284,29957.0,19107-2019
7285,31225.0,19109-2019
7286,26710.0,19111-2019
7287,34545.0,19113-2019
7288,29021.0,19115-2019
7289,31069.0,19117-2019
7290,29124.0,19119-2019
7291,35470.0,19121-2019
7292,28174.0,19123-2019
7293,30644.0,19125-2019
7294,27196.0,19127-2019
7295,34850.0,19129-2019
7296,29676.0,19131-2019
7297,29591.0,19133-2019
7298,28999.0,19135-2019
7299,29781.0,19137-2019
7300,29511.0,19139-2019
7301,30564.0,19141-2019
7302,30955.0,19143-2019
7303,27390.0,19145-2019
7304,28445.0,19147-2019
7305,33982.0,19149-2019
7306,30013.0,19151-2019
7307,35433.0,19153-2019
7308,30318.0,19155-2019
7309,31827.0,19157-2019
7310,28756.0,19159-2019
7311,32274.0,19161-2019
7312,33643.0,19163-2019
7313,32703.0,19165-2019
7314,29360.0,19167-2019
7315,29539.0,19169-2019
7316,28585.0,19171-2019
7317,29778.0,19173-2019
7318,27750.0,19175-2019
7319,27252.0,19177-2019
7320,26424.0,19179-2019
7321,36496.0,19181-2019
7322,30547.0,19183-2019
7323,25628.0,19185-2019
7324,26498.0,19187-2019
7325,28342.0,19189-2019
7326,32075.0,19191-2019
7327,28688.0,19193-2019
7328,31949.0,19195-2019
7329,29622.0,19197-2019
7330,23734.0,20001-2019
7331,24309.0,20003-2019
7332,24237.0,20005-2019
7333,27648.0,20007-2019
7334,27495.0,20009-2019
7335,23102.0,20011-2019
7336,25208.0,20013-2019
7337,29986.0,20015-2019
7338,23055.0,20017-2019
7339,22962.0,20019-2019
7340,22615.0,20021-2019
7341,29041.0,20023-2019
7342,28227.0,20025-2019
7343,29235.0,20027-2019
7344,27279.0,20029-2019
7345,33371.0,20031-2019
7346,30355.0,20033-2019
7347,24726.0,20035-2019
7348,23091.0,20037-2019
7349,30905.0,20039-2019
7350,27219.0,20041-2019
7351,25775.0,20043-2019
7352,32281.0,20045-2019
7353,27431.0,20047-2019
7354,23875.0,20049-2019
7355,30956.0,20051-2019
7356,26443.0,20053-2019
7357,24152.0,20055-2019
