,PCIncome,fip-year,fips,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT,RUCC_2013,WA,BA,IA,AA,NA,TOM,NH,H
63,23468,1043-2019,1043,83644,0.977259296,41341,42303,41,5103,9347,30426,21972,15738,4,80208,1145,529,534,73,1155,79912,3732
64,24770,1043-2020,1043,88044,0.989964741,43800,44244,40.9,5210,10064,31981,23265,16391,4,84368,1232,577,577,75,1215,84005,4039
65,26508,1043-2021,1043,89496,0.987695725,44471,45025,41,5125,10250,32624,23581,16749,4,85692,1270,593,617,69,1255,85311,4185
66,24645,1045-2019,1045,49294,0.968374396,24251,25043,38.1,3291,5582,19025,12240,8564,4,36324,10318,431,713,89,1419,45919,3375
67,24473,1045-2020,1045,49214,0.972900381,24269,24945,38.1,3241,5690,18930,12185,8560,4,36223,10344,437,697,94,1419,45786,3428
68,26469,1045-2021,1045,49342,0.966835413,24255,25087,38.2,3251,5759,18923,12054,8750,4,35992,10648,427,714,92,1469,45746,3596
69,19612,1047-2019,1047,37182,0.858821177,17179,20003,40.6,2202,4467,13163,9855,7004,4,10232,26260,114,199,17,360,36774,408
70,19653,1047-2020,1047,38190,0.871324971,17782,20408,40.9,2226,4603,13401,10109,7280,4,10452,27040,117,200,16,365,37727,463
71,20748,1047-2021,1047,37619,0.866762604,17467,20152,41.1,2165,4427,13272,9768,7399,4,10186,26705,116,214,16,382,37176,443
72,21907,1049-2019,1049,71506,0.986719271,35514,35992,40,4277,8780,26147,18704,12546,6,66290,1344,1435,361,441,1635,60770,10736
73,22511,1049-2020,1049,71630,0.99955336,35807,35823,40.1,4243,8886,26085,18840,12501,6,66299,1348,1468,369,456,1690,60577,11053
74,23947,1049-2021,1049,71813,0.994030099,35799,36014,40.2,4135,8814,26196,18856,12694,6,66365,1401,1504,368,460,1715,60473,11340
75,29052,1051-2019,1051,81575,0.934019299,39396,42179,39.3,4719,9135,31861,21810,12940,2,61773,17191,408,635,94,1474,79047,2528
76,29585,1051-2020,1051,88116,0.943535224,42778,45338,39.4,4925,9951,34308,23686,14051,2,66618,18729,436,695,98,1540,85422,2694
77,31185,1051-2021,1051,89304,0.94804005,43461,45843,39.5,4920,9964,34889,23786,14554,2,67305,19224,445,685,100,1545,86519,2785
78,19028,1053-2019,1053,36569,1.0084029,18361,18208,40,2214,4187,13617,9415,6685,6,22756,11493,1388,117,28,787,35623,946
