,fips,RUCC_2013
832,19087,6.0
833,19089,6.0
834,19091,7.0
835,19093,8.0
836,19095,6.0
837,19097,6.0
838,19099,6.0
839,19101,7.0
840,19103,3.0
841,19105,2.0
842,19107,8.0
843,19109,7.0
844,19111,5.0
845,19113,2.0
846,19115,8.0
847,19117,6.0
848,19119,8.0
849,19121,2.0
850,19123,7.0
851,19125,6.0
852,19127,4.0
853,19129,2.0
854,19131,7.0
855,19133,6.0
856,19135,7.0
857,19137,6.0
858,19139,4.0
859,19141,7.0
860,19143,7.0
861,19145,6.0
862,19147,7.0
863,19149,3.0
864,19151,9.0
865,19153,2.0
866,19155,2.0
867,19157,7.0
868,19159,9.0
869,19161,9.0
870,19163,2.0
871,19165,6.0
872,19167,7.0
873,19169,3.0
874,19171,6.0
875,19173,9.0
876,19175,6.0
877,19177,9.0
878,19179,5.0
879,19181,2.0
880,19183,3.0
881,19185,9.0
882,19187,5.0
883,19189,7.0
884,19191,7.0
885,19193,3.0
886,19195,9.0
887,19197,7.0
888,20001,7.0
889,20003,6.0
890,20005,6.0
891,20007,9.0
892,20009,7.0
893,20011,6.0
894,20013,6.0
895,20015,2.0
896,20017,9.0
897,20019,8.0
898,20021,6.0
899,20023,9.0
900,20025,9.0
901,20027,6.0
902,20029,7.0
903,20031,6.0
904,20033,9.0
905,20035,4.0
906,20037,4.0
907,20039,9.0
908,20041,7.0
909,20043,3.0
910,20045,3.0
911,20047,9.0
912,20049,8.0
913,20051,5.0
914,20053,7.0
915,20055,5.0
916,20057,5.0
917,20059,6.0
918,20061,4.0
919,20063,9.0
920,20065,9.0
921,20067,7.0
922,20069,9.0
923,20071,9.0
924,20073,6.0
925,20075,9.0
926,20077,8.0
927,20079,2.0
928,20081,9.0
929,20083,9.0
930,20085,3.0
931,20087,3.0
932,20089,9.0
933,20091,1.0
934,20093,9.0
935,20095,2.0
936,20097,9.0
937,20099,7.0
938,20101,9.0
939,20103,1.0
940,20105,9.0
941,20107,1.0
942,20109,9.0
943,20111,4.0
944,20113,7.0
945,20115,6.0
946,20117,6.0
947,20119,9.0
948,20121,1.0
949,20123,7.0
950,20125,5.0
951,20127,8.0
952,20129,9.0
953,20131,6.0
954,20133,7.0
955,20135,9.0
956,20137,7.0
957,20139,3.0
958,20141,9.0
959,20143,9.0
960,20145,7.0
961,20147,7.0
962,20149,3.0
963,20151,7.0
964,20153,9.0
965,20155,4.0
966,20157,9.0
967,20159,7.0
968,20161,3.0
969,20163,9.0
970,20165,9.0
971,20167,7.0
972,20169,5.0
973,20171,7.0
974,20173,2.0
975,20175,5.0
976,20177,3.0
977,20179,9.0
978,20181,7.0
979,20183,9.0
980,20185,9.0
981,20187,9.0
982,20189,7.0
983,20191,2.0
984,20193,7.0
985,20195,9.0
986,20197,3.0
987,20199,9.0
988,20201,9.0
989,20203,9.0
990,20205,7.0
991,20207,9.0
992,20209,1.0
993,21001,7.0
994,21003,3.0
995,21005,6.0
996,21007,9.0
997,21009,6.0
998,21011,8.0
999,21013,7.0
1000,21015,1.0
1001,21017,2.0
1002,21019,2.0
1003,21021,7.0
1004,21023,1.0
1005,21025,7.0
1006,21027,8.0
1007,21029,1.0
1008,21031,3.0
1009,21033,7.0
1010,21035,7.0
1011,21037,1.0
1012,21039,9.0
1013,21041,6.0
1014,21043,6.0
1015,21045,9.0
1016,21047,2.0
1017,21049,2.0
1018,21051,7.0
1019,21053,9.0
1020,21055,7.0
1021,21057,9.0
1022,21059,3.0
1023,21061,3.0
1024,21063,9.0
1025,21065,6.0
1026,21067,2.0
1027,21069,7.0
1028,21071,7.0
1029,21073,4.0
1030,21075,9.0
1031,21077,1.0
1032,21079,6.0
1033,21081,1.0
1034,21083,7.0
1035,21085,6.0
1036,21087,8.0
1037,21089,2.0
1038,21091,3.0
1039,21093,3.0
1040,21095,7.0
1041,21097,6.0
1042,21099,8.0
1043,21101,2.0
1044,21103,1.0
1045,21105,9.0
1046,21107,5.0
1047,21109,9.0
1048,21111,1.0
1049,21113,2.0
1050,21115,7.0
1051,21117,1.0
1052,21119,9.0
1053,21121,7.0
1054,21123,3.0
1055,21125,5.0
1056,21127,6.0
1057,21129,9.0
1058,21131,9.0
1059,21133,9.0
1060,21135,8.0
1061,21137,7.0
1062,21139,9.0
1063,21141,6.0
1064,21143,9.0
1065,21145,5.0
1066,21147,9.0
1067,21149,3.0
1068,21151,4.0
1069,21153,9.0
1070,21155,7.0
1071,21157,7.0
1072,21159,9.0
1073,21161,6.0
1074,21163,3.0
1075,21165,9.0
1076,21167,6.0
1077,21169,9.0
1078,21171,8.0
1079,21173,6.0
1080,21175,9.0
1081,21177,6.0
1082,21179,6.0
1083,21181,8.0
1084,21183,6.0
1085,21185,1.0
1086,21187,8.0
1087,21189,9.0
1088,21191,1.0
1089,21193,7.0
1090,21195,7.0
1091,21197,6.0
1092,21199,5.0
1093,21201,8.0
1094,21203,7.0
1095,21205,7.0
1096,21207,9.0
1097,21209,2.0
1098,21211,1.0
1099,21213,6.0
1100,21215,1.0
1101,21217,7.0
1102,21219,8.0
1103,21221,2.0
1104,21223,1.0
1105,21225,6.0
1106,21227,3.0
1107,21229,9.0
1108,21231,7.0
1109,21233,8.0
1110,21235,7.0
1111,21237,9.0
1112,21239,2.0
1113,22001,2.0
1114,22003,6.0
1115,22005,2.0
1116,22007,6.0
1117,22009,6.0
1118,22011,6.0
1119,22013,6.0
1120,22015,2.0
1121,22017,2.0
1122,22019,3.0
1123,22021,8.0
1124,22023,3.0
1125,22025,9.0
1126,22027,6.0
1127,22029,7.0
1128,22031,2.0
1129,22033,2.0
1130,22035,7.0
1131,22037,2.0
1132,22039,6.0
1133,22041,7.0
1134,22043,3.0
1135,22045,2.0
1136,22047,2.0
1137,22049,6.0
1138,22051,1.0
1139,22053,6.0
1140,22055,2.0
1141,22057,3.0
1142,22059,6.0
1143,22061,4.0
1144,22063,2.0
1145,22065,7.0
1146,22067,6.0
1147,22069,6.0
1148,22071,1.0
1149,22073,3.0
1150,22075,1.0
1151,22077,2.0
1152,22079,3.0
1153,22081,8.0
1154,22083,6.0
1155,22085,6.0
1156,22087,1.0
1157,22089,1.0
1158,22091,2.0
1159,22093,1.0
1160,22095,1.0
1161,22097,4.0
1162,22099,2.0
1163,22101,4.0
1164,22103,1.0
1165,22105,3.0
1166,22107,9.0
1167,22109,3.0
1168,22111,3.0
1169,22113,2.0
1170,22115,5.0
1171,22117,6.0
1172,22119,2.0
1173,22121,2.0
1174,22123,9.0
1175,22125,2.0
1176,22127,6.0
1177,23001,3.0
1178,23003,7.0
1179,23005,2.0
1180,23007,6.0
1181,23009,6.0
1182,23011,4.0
1183,23013,7.0
1184,23015,8.0
1185,23017,6.0
1186,23019,3.0
1187,23021,8.0
1188,23023,2.0
1189,23025,6.0
1190,23027,6.0
1191,23029,7.0
1192,23031,2.0
1193,24001,3.0
1194,24003,1.0
1195,24005,1.0
1196,24009,1.0
1197,24011,6.0
1198,24013,1.0
1199,24015,1.0
1200,24017,1.0
1201,24019,6.0
1202,24021,1.0
1203,24023,6.0
1204,24025,1.0
1205,24027,1.0
1206,24029,6.0
1207,24031,1.0
1208,24033,1.0
1209,24035,1.0
1210,24037,3.0
1211,24039,2.0
1212,24041,6.0
1213,24043,2.0
1214,24045,2.0
1215,24047,2.0
1216,24510,1.0
1217,25001,3.0
1218,25003,3.0
1219,25005,1.0
1220,25007,7.0
1221,25009,1.0
1222,25011,4.0
1223,25013,2.0
1224,25015,2.0
1225,25017,1.0
1226,25019,7.0
1227,25021,1.0
1228,25023,1.0
1229,25025,1.0
1230,25027,2.0
1231,26001,9.0
1232,26003,7.0
1233,26005,4.0
1234,26007,7.0
1235,26009,9.0
1236,26011,8.0
1237,26013,9.0
1238,26015,2.0
1239,26017,3.0
1240,26019,9.0
1241,26021,3.0
1242,26023,6.0
1243,26025,3.0
1244,26027,2.0
1245,26029,7.0
1246,26031,7.0
1247,26033,7.0
1248,26035,6.0
1249,26037,2.0
1250,26039,7.0
1251,26041,5.0
1252,26043,7.0
1253,26045,2.0
1254,26047,7.0
1255,26049,2.0
1256,26051,6.0
1257,26053,7.0
1258,26055,5.0
1259,26057,6.0
1260,26059,6.0
1261,26061,5.0
1262,26063,7.0
1263,26065,2.0
1264,26067,4.0
1265,26069,7.0
1266,26071,7.0
1267,26073,4.0
1268,26075,3.0
1269,26077,2.0
1270,26079,7.0
1271,26081,2.0
1272,26083,9.0
1273,26085,9.0
1274,26087,1.0
1275,26089,9.0
1276,26091,4.0
1277,26093,1.0
1278,26095,7.0
1279,26097,7.0
1280,26099,1.0
1281,26101,7.0
1282,26103,5.0
1283,26105,7.0
1284,26107,6.0
1285,26109,7.0
1286,26111,3.0
1287,26113,9.0
1288,26115,3.0
1289,26117,2.0
1290,26119,9.0
1291,26121,3.0
1292,26123,6.0
1293,26125,1.0
1294,26127,6.0
1295,26129,9.0
1296,26131,9.0
1297,26133,9.0
1298,26135,9.0
1299,26137,7.0
1300,26139,2.0
1301,26141,7.0
1302,26143,7.0
1303,26145,3.0
1304,26147,1.0
1305,26149,4.0
1306,26151,6.0
1307,26153,7.0
1308,26155,4.0
1309,26157,6.0
1310,26159,2.0
1311,26161,2.0
1312,26163,1.0
1313,26165,7.0
1314,27001,8.0
1315,27003,1.0
1316,27005,6.0
1317,27007,7.0
1318,27009,3.0
1319,27011,9.0
1320,27013,3.0
1321,27015,6.0
1322,27017,2.0
1323,27019,1.0
1324,27021,9.0
1325,27023,7.0
1326,27025,1.0
1327,27027,3.0
1328,27029,8.0
1329,27031,9.0
1330,27033,7.0
1331,27035,4.0
1332,27037,1.0
1333,27039,3.0
1334,27041,6.0
1335,27043,6.0
1336,27045,3.0
1337,27047,7.0
1338,27049,4.0
1339,27051,9.0
1340,27053,1.0
1341,27055,3.0
1342,27057,7.0
1343,27059,1.0
1344,27061,6.0
1345,27063,7.0
1346,27065,6.0
1347,27067,4.0
1348,27069,9.0
1349,27071,6.0
1350,27073,9.0
1351,27075,6.0
1352,27077,9.0
1353,27079,1.0
1354,27081,9.0
1355,27083,7.0
1356,27085,6.0
1357,27087,8.0
1358,27089,8.0
1359,27091,7.0
1360,27093,6.0
1361,27095,1.0
1362,27097,6.0
1363,27099,4.0
1364,27101,9.0
1365,27103,3.0
1366,27105,7.0
1367,27107,8.0
