,fip-year,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT
1392,8071-2019,14415,1.0982532751091705,7545,6870,46.2,658,1301,4932,3772,3600
1393,8071-2020,14564,1.1119489559164732,7668,6896,46.1,627,1339,4997,3795,3636
1394,8071-2021,14633,1.1194959443800696,7729,6904,46.0,616,1320,5062,3746,3720
1397,8073-2019,5694,1.419889502762431,3341,2353,38.8,314,591,2322,1412,1002
1398,8073-2020,5669,1.4498703543647364,3355,2314,38.9,307,578,2332,1399,985
1399,8073-2021,5688,1.4517241379310344,3368,2320,39.3,294,576,2361,1423,977
1402,8075-2019,22409,1.3437924903252798,12848,9561,39.0,1122,1933,9636,5477,4019
1403,8075-2020,21495,1.3313449023861172,12275,9220,39.1,1070,1949,9154,5244,3874
1404,8075-2021,21487,1.343695462478185,12319,9168,39.1,1083,1926,9201,5172,3898
1407,8077-2019,154552,0.9772785425515582,76388,78164,40.2,8531,16838,58613,38129,30550
1408,8077-2020,155939,0.9847900518029198,77372,78567,40.4,8263,17002,59399,38311,31001
1409,8077-2021,157335,0.9862270081930996,78122,79213,40.7,8080,16768,60238,37979,32236
1412,8079-2019,756,0.9738903394255874,373,383,54.6,29,47,219,211,244
1413,8079-2020,867,1.011600928074246,436,431,53.1,32,53,253,261,263
1414,8079-2021,924,1.008695652173913,464,460,51.7,32,62,277,282,267
1417,8081-2019,13209,1.0533188248095755,6776,6433,37.9,885,1739,4950,3370,2089
1418,8081-2020,13267,1.0671548769086945,6849,6418,38.3,838,1761,4952,3371,2148
1419,8081-2021,13185,1.072135785007072,6822,6363,38.6,753,1745,4969,3310,2212
1422,8083-2019,26369,0.9719563266527071,12997,13372,44.8,1392,3013,8538,7012,6111
1423,8083-2020,25858,0.9837360951285002,12823,13035,44.7,1297,2970,8412,6785,6072
1424,8083-2021,26175,0.9868680734780628,13001,13174,44.5,1282,2940,8639,6689,6270
1427,8085-2019,42791,0.9674022988505748,21041,21750,45.3,2228,4747,13797,11143,10368
1428,8085-2020,42798,0.9822148117271086,21207,21591,45.3,2152,4758,13788,11134,10418
1429,8085-2021,43168,0.9824569460390356,21393,21775,45.7,2117,4667,13972,11041,10828
1432,8087-2019,28938,1.033876862524599,14710,14228,35.9,2130,3769,11321,6771,4533
1433,8087-2020,29065,1.054789678331566,14920,14145,36.0,2116,3862,11388,6770,4509
1434,8087-2021,29008,1.0561383612134958,14900,14108,36.3,2059,3859,11340,6687,4654
1437,8089-2019,18243,0.9654169360051712,8961,9282,39.8,1084,2180,6611,4297,3768
1438,8089-2020,18667,0.9793235075813804,9236,9431,40.0,1092,2220,6848,4433,3806
1439,8089-2021,18594,0.9878127004490058,9240,9354,40.0,1060,2223,6847,4386,3813
1442,8091-2019,5005,1.0140845070422535,2520,2485,54.0,149,397,1330,1663,1406
1443,8091-2020,4869,1.0178201409034398,2456,2413,54.5,154,356,1304,1592,1419
1444,8091-2021,5035,1.0229007633587786,2546,2489,54.4,140,368,1374,1587,1521
1447,8093-2019,18881,1.120745816017073,9978,8903,51.3,703,1429,5523,7005,4040
1448,8093-2020,17421,1.1409610421531278,9284,8137,51.5,625,1345,5065,6325,3889
1449,8093-2021,17720,1.1367418304594237,9427,8293,51.2,636,1284,5309,6218,4104
1452,8095-2019,4359,0.9913202375513932,2170,2189,41.7,274,523,1423,1070,978
1453,8095-2020,4534,0.9894690653795524,2255,2279,40.8,287,560,1528,1080,1000
1454,8095-2021,4512,1.0053333333333334,2262,2250,40.9,261,570,1544,1069,996
1457,8097-2019,17902,1.079693308550186,9294,8608,45.7,681,1282,6663,5416,3698
1458,8097-2020,17342,1.102825269795077,9095,8247,45.7,684,1253,6424,5213,3613
1459,8097-2021,17348,1.0901204819277108,9048,8300,46.0,682,1266,6372,5085,3793
1462,8099-2019,12106,1.007961519323271,6077,6029,37.6,866,1565,4462,2832,2200
1463,8099-2020,11986,1.013438602385352,6033,5953,37.4,822,1619,4410,2772,2182
1464,8099-2021,11996,1.0087073007367715,6024,5972,37.7,798,1604,4461,2761,2201
1467,8101-2019,168409,0.9707100730200336,82953,85456,39.7,9511,19091,63848,41728,32114
1468,8101-2020,168467,0.9832012902162524,83520,84947,39.6,9394,19507,64083,41520,31723
1469,8101-2021,169622,0.9822601378987964,84052,85570,39.7,9353,19200,65177,41190,32384
1472,8103-2019,6350,1.0431145431145432,3242,3108,38.2,376,838,2382,1597,1062
1473,8103-2020,6518,1.062005694400506,3357,3161,38.2,369,866,2478,1610,1090
1474,8103-2021,6476,1.078972712680578,3361,3115,39.3,321,806,2476,1584,1183
1477,8105-2019,11277,0.9899417681312864,5610,5667,41.4,639,1264,4016,2818,2380
1478,8105-2020,11538,1.003472825143254,5779,5759,41.5,623,1307,4136,2842,2475
1479,8105-2021,11408,1.0045686171147423,5717,5691,42.0,583,1258,4105,2788,2522
1482,8107-2019,25579,1.0806084268748983,13285,12294,42.0,1097,2302,10165,7560,4184
1483,8107-2020,24839,1.0922338274932617,12967,11872,42.5,1040,2233,9784,7267,4244
1484,8107-2021,25091,1.0924860311900593,13100,11991,42.9,1000,2271,9816,7251,4492
1487,8109-2019,6829,0.984597500726533,3388,3441,48.6,354,708,1968,1991,1725
1488,8109-2020,6383,1.000940438871473,3193,3190,48.7,293,638,1859,1894,1611
1489,8109-2021,6471,1.007133995037221,3247,3224,49.0,277,611,1943,1908,1647
1492,8111-2019,723,1.259375,403,320,51.7,26,45,227,240,183
1493,8111-2020,710,1.253968253968254,395,315,49.0,21,49,242,218,175
1494,8111-2021,733,1.2078313253012047,401,332,48.9,12,56,260,219,182
1497,8113-2019,8169,1.125130072840791,4325,3844,42.6,314,742,3238,2514,1278
1498,8113-2020,8055,1.1434273549760512,4297,3758,43.1,306,728,3134,2489,1314
1499,8113-2021,8074,1.1422127885380735,4305,3769,43.2,295,725,3125,2461,1375
1502,8115-2019,2274,0.980836236933798,1126,1148,47.8,103,228,711,569,633
1503,8115-2020,2390,0.994991652754591,1192,1198,48.5,107,246,726,607,675
1504,8115-2021,2336,0.96964586846543,1150,1186,49.3,89,238,700,589,693
1507,8117-2019,30851,1.207111174703105,16873,13978,39.5,1372,2485,13743,8654,4316
1508,8117-2020,30971,1.2142703939372277,16984,13987,40.0,1336,2533,13543,8769,4513
1509,8117-2021,30941,1.2110190081463483,16947,13994,40.6,1254,2505,13376,8783,4731
1512,8119-2019,25408,1.024219247928617,12856,12552,50.8,983,2222,7371,8672,5879
1513,8119-2020,24726,1.0427957699933903,12622,12104,50.9,898,2221,7213,8250,5881
1514,8119-2021,24926,1.0342773198400392,12673,12253,50.9,891,2151,7415,8043,6152
1517,8121-2019,4869,1.105058365758755,2556,2313,42.2,273,578,1681,1259,1026
1518,8121-2020,4815,1.109991235758107,2533,2282,41.6,270,569,1676,1233,1000
1519,8121-2021,4861,1.1292159439334208,2578,2283,41.6,250,585,1706,1208,1041
1522,8123-2019,324703,1.021082050069091,164045,160658,34.8,22921,42633,138503,75546,40355
1523,8123-2020,331358,1.0349685565490812,168526,162832,35.0,23003,43692,141734,76901,41047
1524,8123-2021,340036,1.0334162560398028,172812,167224,35.2,23050,44287,146542,78048,42986
1527,8125-2019,10020,1.014475271411339,5046,4974,37.5,759,1411,3497,2366,1854
1528,8125-2020,9979,1.0270160471257364,5056,4923,37.3,730,1434,3523,2313,1821
1529,8125-2021,9941,1.0254686226568868,5033,4908,37.6,677,1434,3547,2278,1844
1532,9001-2019,944388,0.9494024151099184,459938,484450,40.8,51195,106383,351588,268327,153903
1533,9001-2020,955895,0.9619250322747488,468672,487223,40.8,50833,107929,356291,272115,155180
1534,9001-2021,959768,0.96152839998692,470472,489296,40.8,50327,106190,361631,269465,158603
1537,9003-2019,891349,0.9445380094505504,432963,458386,40.2,47786,92955,344209,239407,155788
1538,9003-2020,897932,0.9565260969795748,438990,458942,40.2,47505,94863,348508,240074,155516
1539,9003-2021,896854,0.9563512145748988,438422,458432,40.2,46713,93800,350674,235756,158512
1542,9005-2019,180396,0.9784818872766756,89217,91179,48.0,7449,16097,58395,56535,39770
1543,9005-2020,184874,0.9934441077840436,92133,92741,47.9,7561,16561,60229,57340,41031
1544,9005-2021,185000,0.9952760491377172,92281,92719,47.8,7530,16338,61019,55867,42169
1547,9007-2019,162538,0.949644947701756,79170,83368,46.2,6675,13839,56799,49251,34179
1548,9007-2020,163923,0.9662580366567508,80555,83368,46.2,6575,13941,57511,49422,34658
1549,9007-2021,164759,0.962421239444001,80802,83957,46.1,6479,13746,58452,48602,35695
1552,9009-2019,853818,0.9292313740908196,411249,442569,40.5,43822,85331,331558,230615,152232
1553,9009-2020,863498,0.9413698211282678,418710,444788,40.4,43806,87446,336327,232354,152897
1554,9009-2021,863700,0.9396043539480392,418403,445297,40.5,43081,86105,338751,228758,156201
1557,9011-2019,265784,1.0039961697090336,133157,132627,41.6,12981,25625,100656,73323,50085
1558,9011-2020,268248,1.0147360356909487,135105,133143,41.5,12916,26233,101948,73405,50595
1559,9011-2021,268805,1.0166324065599353,135511,133294,41.5,12702,25874,102992,72200,51843
1562,9013-2019,150865,0.998000211898077,75357,75508,37.7,6156,12892,66086,39440,24671
1563,9013-2020,149650,1.0128315489320492,75302,74348,37.7,6063,12893,65855,38602,24596
1564,9013-2021,150293,1.0106086956521738,75543,74750,37.7,6077,12844,66626,37696,25398
1567,9015-2019,116884,0.9843471470043972,57981,58903,41.4,5721,11516,44655,33490,20077
1568,9015-2020,116240,0.996530461517322,58019,58221,41.5,5454,11674,44408,33112,20162
1569,9015-2021,116418,0.9980777482193428,58153,58265,41.7,5302,11481,44693,32689,20814
1572,10001-2019,181492,0.9289806243157928,87405,94087,38.0,11234,20980,70742,44470,31780
1573,10001-2020,182256,0.9376568147990644,88196,94060,38.1,10992,21365,70984,44511,31967
1574,10001-2021,184149,0.9348463356973996,88974,95175,38.3,10775,21574,71934,44386,33033
1577,10003-2019,559941,0.9383572076407016,271067,288874,38.8,31837,60062,223145,148224,89925
1578,10003-2020,570718,0.949686222128087,277995,292723,39.0,31611,62154,227046,150771,92012
1579,10003-2021,571708,0.9483491916355408,278276,293432,39.2,30924,61541,228044,148945,94971
1582,10005-2019,235235,0.9343392813091028,113625,121610,51.0,11780,21855,67061,64267,67750
1583,10005-2020,238912,0.944049343336534,116018,122894,51.4,11621,22184,67657,65130,69718
1584,10005-2021,247527,0.9422870190911872,120086,127441,52.0,11802,22419,70007,66994,73642
1587,11001-2019,708253,0.9018966521927104,335860,372393,34.2,45015,62268,362533,144996,88132
1588,11001-2020,690093,0.9106464036236478,328910,361183,34.4,42654,63239,353106,140947,84624
1589,11001-2021,670050,0.9081806428095436,318904,351146,34.9,40759,63458,337260,136905,85838
1592,12001-2019,269489,0.9309072410185862,129923,139566,32.1,13796,24563,134277,54571,39682
1593,12001-2020,278684,0.9378085582766628,134870,143814,32.4,13887,25949,138284,56486,41336
1594,12001-2021,279238,0.9348933251106938,134921,144317,32.8,13524,25965,138232,56138,42493
1597,12003-2019,29288,1.114199090449722,15435,13853,37.2,1837,3593,11816,7501,4171
1598,12003-2020,28309,1.1254598693595614,14990,13319,37.5,1713,3475,11377,7293,4046
1599,12003-2021,28715,1.1335166059885575,15256,13459,37.5,1746,3490,11575,7318,4179
1602,12005-2019,173895,0.9824097401931168,86176,87719,41.8,9841,18163,63389,48335,32145
1603,12005-2020,174461,0.9953907036325372,87029,87432,41.9,9491,18339,63514,48795,32202
1604,12005-2021,179168,0.992371590289902,89241,89927,41.6,9835,18847,66023,49205,33098
1607,12007-2019,28348,1.2480570975416336,15738,12610,40.0,1491,2769,11382,7225,5168
1608,12007-2020,28364,1.2611607142857142,15820,12544,40.1,1478,2807,11394,7295,5072
1609,12007-2021,28540,1.2605940594059406,15915,12625,40.1,1468,2840,11497,7242,5152
1612,12009-2019,601024,0.9565220222012436,293834,307190,47.6,27428,55566,194390,172472,144638
1613,12009-2020,608007,0.9696553466780268,299320,308687,47.4,27256,57122,197821,173962,145039
1614,12009-2021,616628,0.9721367576038636,303958,312670,47.2,26930,57379,202855,173062,149343
1617,12011-2019,1955475,0.9505498615994612,952950,1002525,40.7,112399,206329,744851,534398,333996
1618,12011-2020,1941516,0.9636006161296096,952763,988753,40.9,108768,207010,735986,534448,330941
1619,12011-2021,1930983,0.9632629697486066,947425,983558,41.3,105615,203536,729122,529937,338380
1622,12013-2019,14140,1.181425485961123,7658,6482,41.9,679,1471,5309,3839,2662
1623,12013-2020,13615,1.183991017003529,7381,6234,41.6,653,1423,5133,3693,2524
1624,12013-2021,13641,1.192029567732605,7418,6223,41.8,654,1370,5165,3674,2586
1627,12015-2019,189669,0.9517287507717638,92489,97180,60.1,5450,11336,42311,51767,77428
1628,12015-2020,187960,0.9651426599893358,92313,95647,60.0,5380,11490,42091,51677,75936
1629,12015-2021,194843,0.9637274367321434,95622,99221,60.2,5459,11767,44081,53072,78993
1632,12017-2019,150153,0.93951019142835,72735,77418,57.2,5475,11222,36502,40281,55415
1633,12017-2020,154403,0.9501730366029252,75229,79174,56.9,5611,11793,37947,41561,56047
1634,12017-2021,158083,0.9528956861194842,77135,80948,57.0,5652,12041,39539,42020,57364
1637,12019-2019,219014,0.9716248210797332,107931,111083,39.9,11936,26022,82507,59993,35426
1638,12019-2020,218797,0.9805293553234246,108323,110474,40.1,11744,26254,81990,59886,35643
1639,12019-2021,222361,0.9788288689151908,109991,112370,40.2,11624,26441,83871,60116,36961
1642,12021-2019,385917,0.970874827639038,190107,195810,52.0,16718,32880,110278,95438,126809
1643,12021-2020,377079,0.9816642492274704,186795,190284,52.1,15914,32256,107488,94517,122922
1644,12021-2021,385980,0.9824446966856532,191281,194699,52.6,15764,32207,109726,96529,127681
1647,12023-2019,71766,1.075001445671659,37180,34586,40.5,4109,7965,26644,18338,13843
1648,12023-2020,69889,1.0802154954311396,36292,33597,40.5,3913,7831,25927,17813,13500
1649,12023-2021,70385,1.0854814814814815,36635,33750,40.7,3860,7871,26175,17699,13850
1652,12027-2019,37821,1.2791973002289985,21227,16594,41.3,1889,3554,14548,8931,8513
1653,12027-2020,34080,1.2826523777628935,19150,14930,41.5,1697,3180,13151,8101,7580
1654,12027-2021,34408,1.2723550389644698,19266,15142,42.1,1691,3104,13231,8227,7779
1657,12029-2019,16887,1.219053876478318,9277,7610,46.4,776,1612,5619,4663,4029
1658,12029-2020,16805,1.2341132677479394,9283,7522,46.4,761,1604,5612,4626,4013
1659,12029-2021,17102,1.23059866962306,9435,7667,45.9,787,1624,5788,4603,4104
