,fip-year,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT
1662,12031-2019,959853,0.9402885812701134,465157,494696,36.5,64750,107675,398527,239246,138474
1663,12031-2020,996373,0.950158439987552,485454,510919,36.7,65557,113623,413128,247424,144437
1664,12031-2021,999935,0.9476609992539974,486532,513403,36.9,64203,113518,415588,245113,149041
1667,12033-2019,319379,0.9756827812316352,157724,161655,37.4,19187,33480,129517,78967,54724
1668,12033-2020,322424,0.9828054855174958,159814,162610,37.5,19018,34238,130973,79422,54942
1669,12033-2021,322390,0.9807692307692308,159630,162760,37.6,18566,34134,131679,78139,56000
1672,12035-2019,115481,0.9261600560429664,55527,59954,52.4,4469,9870,32378,31705,35827
1673,12035-2020,115968,0.9396534421623068,56180,59788,52.7,4343,9960,32276,32231,35931
1674,12035-2021,120932,0.9378575434660684,58527,62405,52.9,4408,10188,33736,33628,37642
1677,12037-2019,12113,1.3165041116848346,6884,5229,46.2,506,934,4342,3302,2923
1678,12037-2020,12456,1.316533382927283,7079,5377,46.2,505,979,4455,3398,3001
1679,12037-2021,12572,1.3268554506755506,7169,5403,46.7,473,946,4512,3437,3088
1682,12039-2019,45670,0.9019656838247544,21658,24012,41.8,2723,5000,16450,12387,8556
1683,12039-2020,43701,0.9168786735678568,20903,22798,42.1,2530,4791,15568,11979,8260
1684,12039-2021,43714,0.9050814956855224,20768,22946,42.3,2457,4687,15618,11924,8456
1687,12041-2019,18572,1.0720740823385029,9609,8963,42.6,1003,1849,6671,5020,3827
1688,12041-2020,17928,1.0836820083682008,9324,8604,42.1,950,1849,6453,4774,3691
1689,12041-2021,18360,1.0759837177747626,9516,8844,42.1,985,1889,6630,4770,3868
1692,12043-2019,13914,1.2583996104528483,7753,6161,47.9,410,1082,4811,3547,3928
1693,12043-2020,12179,1.2696608274319792,6813,5366,48.3,356,947,4172,3144,3445
1694,12043-2021,12234,1.2735551012822894,6853,5381,48.3,340,918,4255,3159,3439
1697,12045-2019,13498,1.010126582278481,6783,6715,49.3,649,1304,3988,3924,3480
1698,12045-2020,14181,1.0192225544639044,7158,7023,49.3,640,1417,4200,4143,3625
1699,12045-2021,14363,1.009092180724577,7214,7149,49.6,592,1425,4276,4163,3729
1702,12047-2019,14470,1.3803257114657017,8391,6079,40.0,782,1348,5788,3768,2641
1703,12047-2020,13988,1.3894772804919713,8134,5854,40.0,743,1336,5573,3619,2554
